"","Predictor","Marginalized error","Model error","Relative change","Z-value"
"4","timeSince",0.2447,0.2395,0.022,8.248
"25","SGRQ_symptoms",0.2407,0.2395,0.005,3.959
"23","trtgroup",0.2404,0.2395,0.004,3.019
"119","gen_health_z_score",0.2404,0.2395,0.004,3.318
"10","gender",0.2402,0.2395,0.003,2.258
"89","genhealth",0.2401,0.2395,0.002,2.879
"118","pain_z_score",0.2401,0.2395,0.002,3.812
"93","LEU_",0.24,0.2395,0.002,3.369
"88","pain",0.2399,0.2395,0.002,2.554
"5","experiencedSevere",0.2398,0.2395,0.001,4.46
"13","hosp1yr",0.2398,0.2395,0.001,1.761
"73","seen_mental_health_provider_dep_anx",0.2398,0.2395,0.001,2.727
"9","clinic",0.2397,0.2395,0.001,1.527
"92","oxygen_use",0.2397,0.2395,0.001,1.81
"120","energy_z_score",0.2397,0.2395,0.001,2.486
"8","bronchitis",0.2396,0.2395,0,2.05
"15","nowsmk",0.2396,0.2395,0,1.799
"20","phlegm",0.2396,0.2395,0,1.914
"22","ster1yr",0.2396,0.2395,0,1.403
"76","fev1_predicted_baseline",0.2396,0.2395,0.001,2.386
"79","lama",0.2396,0.2395,0,1.06
"85","energy",0.2396,0.2395,0,1.15
"110","anti_coags",0.2396,0.2395,0,1.371
"125","on_laba_lama_ics",0.2396,0.2395,0,2.082
"1","pseudoEst",0.2395,0.2395,0,0.692
"2","checkIn",0.2395,0.2395,0,-1.114
"6","asian",0.2395,0.2395,0,0.692
"7","black",0.2395,0.2395,0,-1.008
"11","goldclass",0.2395,0.2395,0,2.064
"12","hispanic",0.2395,0.2395,0,0.991
"14","native",0.2395,0.2395,0,-0.584
"16","otherrace",0.2395,0.2395,0,0.692
"17","oxygen",0.2395,0.2395,0,1.349
"18","pacific",0.2395,0.2395,0,0.692
"19","packyears",0.2395,0.2395,0,0.345
"24","white",0.2395,0.2395,0,-1.624
"28","sleep_quality_global",0.2395,0.2395,0,-0.301
"30","sleep_latency",0.2395,0.2395,0,-0.884
"32","sleep_medication",0.2395,0.2395,0,-0.904
"35","sleep_dysfunction",0.2395,0.2395,0,0.842
"36","bedtime_hours",0.2395,0.2395,0,-0.007
"37","bedtime_minutes",0.2395,0.2395,0,1.351
"40","get_up_time_minutes",0.2395,0.2395,0,-0.399
"44","get_up_bathroom",0.2395,0.2395,0,-0.089
"47","too_cold_sleep",0.2395,0.2395,0,-1.084
"50","have_pain",0.2395,0.2395,0,0.855
"51","past_month_medication",0.2395,0.2395,0,-0.279
"52","trouble_waking",0.2395,0.2395,0,-0.064
"53","enthusiastic_issues",0.2395,0.2395,0,-0.395
"54","sleep_qual_overall",0.2395,0.2395,0,-1.467
"56","time_wakeup_qs_asked",0.2395,0.2395,0,-1.137
"57","anxiety_HADS",0.2395,0.2395,0,-0.92
"59","TENSE_N241_C",0.2395,0.2395,0,-0.762
"60","still_enjoy_things",0.2395,0.2395,0,-1.374
"61","AWFUL_N241_C",0.2395,0.2395,0,-0.114
"62","still_laughs",0.2395,0.2395,0,-2.042
"63","worries",0.2395,0.2395,0,0.199
"64","feels_cheerful",0.2395,0.2395,0,-0.012
"65","can_feel_relaxed",0.2395,0.2395,0,-0.476
"67","feels_butterfly_fright",0.2395,0.2395,0,0.067
"68","no_interest_in_appearance",0.2395,0.2395,0,-0.267
"71","sudden_feelings_panic",0.2395,0.2395,0,-0.185
"72","can_enjoy_entertainment",0.2395,0.2395,0,-0.983
"74","fev1_liters",0.2395,0.2395,0,1.625
"77","ics",0.2395,0.2395,0,1.337
"78","laba",0.2395,0.2395,0,1.32
"80","advair_symbircort",0.2395,0.2395,0,-0.741
"83","rolephys",0.2395,0.2395,0,0.273
"84","roleemo",0.2395,0.2395,0,0.4
"86","emowell",0.2395,0.2395,0,0.605
"91","theophylline_use",0.2395,0.2395,0,-0.746
"94","proton_pump_inhibitors",0.2395,0.2395,0,0.308
"95","h2_blockers",0.2395,0.2395,0,-0.734
"97","FEF2575_post_bronchodilator",0.2395,0.2395,0,1.488
"99","ace_inibitors",0.2395,0.2395,0,0.43
"100","arb_use",0.2395,0.2395,0,1.482
"101","beta_blocker_use",0.2395,0.2395,0,-0.561
"102","beta_blocker_non_selective",0.2395,0.2395,0,0.692
"103","beta_blocker_selective",0.2395,0.2395,0,-0.517
"104","CCB",0.2395,0.2395,0,-1.421
"105","anti_arrythmics",0.2395,0.2395,0,0.692
"106","statins",0.2395,0.2395,0,1.465
"108","misc_baseline_meds",0.2395,0.2395,0,0.692
"109","vasodilator_use",0.2395,0.2395,0,-2.263
"111","other_chol_reducers",0.2395,0.2395,0,0.074
"112","digitalis",0.2395,0.2395,0,0.692
"115","statin",0.2395,0.2395,0,-0.244
"121","social_z_score",0.2395,0.2395,0,-1.251
"122","emotional_z_score",0.2395,0.2395,0,-0.196
"123","mental_health_z_score",0.2395,0.2395,0,0.759
"126","icsonly",0.2395,0.2395,0,0.692
"127","labaonly",0.2395,0.2395,0,0.692
"128","lamaonly",0.2395,0.2395,0,0.225
"129","icslaba",0.2395,0.2395,0,0.373
"130","icslama",0.2395,0.2395,0,-0.287
"131","labalama",0.2395,0.2395,0,1.054
"132","icslabalama",0.2395,0.2395,0,0.67
"133","gold2",0.2395,0.2395,0,0.576
"134","gold1",0.2395,0.2395,0,1.778
"135","sleep1",0.2395,0.2395,0,1.107
"136","panic4",0.2395,0.2395,0,-1.709
"3","age",0.2394,0.2395,0,-0.019
"29","sleep_quality_subjective",0.2394,0.2395,0,-2.887
"31","sleep_duration",0.2394,0.2395,0,-2.44
"33","sleep_efficiency",0.2394,0.2395,0,-1.331
"34","sleep_disturbances",0.2394,0.2395,0,-1.442
"38","FALLMN_N242_C",0.2394,0.2395,0,-1.302
"39","get_up_time_hours",0.2394,0.2395,0,-0.898
"41","actual_hours_sleep",0.2394,0.2395,0,-1.658
"42","fails_sleep_in_30min",0.2394,0.2395,0,-0.726
"43","wakeup_mid_night",0.2394,0.2395,0,-2.648
"45","breathing_discomfort",0.2394,0.2395,0,-0.561
"46","loud_cough_snore",0.2394,0.2395,0,-1.298
"48","too_hot_sleep",0.2394,0.2395,0,-1.179
"49","bad_dreams",0.2394,0.2395,0,-3.122
"55","time_bedtime_qs_asked",0.2394,0.2395,0,-2.615
"58","depression_HADS",0.2394,0.2395,0,-2.343
"66","feels_slowed_down",0.2394,0.2395,0,-0.489
"69","feels_restless",0.2394,0.2395,0,-1.013
"70","looks_forward",0.2394,0.2395,0,-2.385
"87","socfunc",0.2394,0.2395,0,-0.935
"90","fev1fvcpct_",0.2394,0.2395,0,1.169
"96","FVC_post_bronchodilator",0.2394,0.2395,0,0.876
"98","POFEFM_",0.2394,0.2395,0,1.318
"107","diuretics",0.2394,0.2395,0,-1.244
"113","ASP",0.2394,0.2395,0,-1.017
"116","physical_z_score",0.2394,0.2395,-0.001,-2.051
"117","role_phys_z_score",0.2394,0.2395,-0.001,-0.488
"124","aggregate_mental_z_score",0.2394,0.2395,-0.001,-0.78
"21","season",0.2393,0.2395,-0.001,-2.325
"82","physfunc",0.2393,0.2395,-0.001,-2.274
"114","hearmean",0.2393,0.2395,-0.001,-1.55
"26","SGRQ_activity",0.2392,0.2395,-0.001,-3.083
"27","SGRQ_impact",0.2392,0.2395,-0.001,-1.855
"75","fvc_liters",0.2392,0.2395,-0.001,-1.427
"81","stgtotalc",0.239,0.2395,-0.002,-1.58
