"","Predictor","Marginalized error","Model error","Relative change","Z-value"
"1","ASP",0.2387,0.2387,0,0.335
"2","AWFUL_N241_C",0.2387,0.2387,0,-0.211
"3","CCB",0.2387,0.2387,0,-1.505
"4","FALLMN_N242_C",0.2388,0.2387,0,0.855
"5","FEF2575_post_bronchodilator",0.2387,0.2387,0,1.65
"6","FVC_post_bronchodilator",0.2386,0.2387,-0.001,-0.379
"7","LEU_",0.2393,0.2387,0.002,3.231
"8","POFEFM_",0.2386,0.2387,0,1.055
"9","SGRQ_activity",0.2385,0.2387,-0.001,-1.677
"10","SGRQ_impact",0.2384,0.2387,-0.001,-2.123
"11","SGRQ_symptoms",0.2395,0.2387,0.003,3.422
"12","TENSE_N241_C",0.2387,0.2387,0,0.145
"13","ace_inibitors",0.2387,0.2387,0,-1.323
"14","actual_hours_sleep",0.2386,0.2387,0,-2.793
"15","advair_symbircort",0.2387,0.2387,0,-0.559
"16","age",0.2386,0.2387,-0.001,-0.175
"17","aggregate_mental_z_score",0.2385,0.2387,-0.001,-1.93
"18","anti_arrythmics",0.2387,0.2387,0,1.119
"19","anti_coags",0.2388,0.2387,0,1.28
"20","anxiety_HADS",0.2387,0.2387,0,0.342
"21","arb_use",0.2387,0.2387,0,-2.144
"22","asian",0.2387,0.2387,0,1.119
"23","bad_dreams",0.2387,0.2387,0,-2.47
"24","bedtime_hours",0.2388,0.2387,0,0.875
"25","bedtime_minutes",0.2387,0.2387,0,0.533
"26","beta_blocker_non_selective",0.2387,0.2387,0,1.119
"27","beta_blocker_selective",0.2387,0.2387,0,-0.347
"28","beta_blocker_use",0.2387,0.2387,0,-0.296
"29","black",0.2387,0.2387,0,-1.74
"30","breathing_discomfort",0.2387,0.2387,0,-0.454
"31","bronchitis",0.2391,0.2387,0.002,2.906
"32","can_enjoy_entertainment",0.2387,0.2387,0,-1.442
"33","can_feel_relaxed",0.2387,0.2387,0,0.363
"34","catTimeSince",0.2408,0.2387,0.009,6.31
"35","checkIn",0.2388,0.2387,0,3.058
"36","clinic",0.2388,0.2387,0,0.759
"37","depression_HADS",0.2387,0.2387,0,-1.013
"38","digitalis",0.2387,0.2387,0,2.493
"39","diuretics",0.2387,0.2387,0,0.69
"40","emotional_z_score",0.2387,0.2387,0,0.474
"41","emowell",0.2387,0.2387,0,-0.777
"42","energy",0.2386,0.2387,0,0.437
"43","energy_z_score",0.2387,0.2387,0,1.287
"44","enthusiastic_issues",0.2387,0.2387,0,0.258
"45","experiencedSevere",0.2389,0.2387,0.001,4.18
"46","fails_sleep_in_30min",0.2386,0.2387,0,-2.046
"47","feels_butterfly_fright",0.2387,0.2387,0,-1.017
"48","feels_cheerful",0.2387,0.2387,0,-0.663
"49","feels_restless",0.2387,0.2387,0,0.661
"50","feels_slowed_down",0.2387,0.2387,0,-0.056
"51","fev1_liters",0.2385,0.2387,-0.001,0.591
"52","fev1_predicted_baseline",0.2385,0.2387,-0.001,0.348
"53","fev1fvcpct_",0.2386,0.2387,0,0.783
"54","fvc_liters",0.2385,0.2387,-0.001,-0.855
"55","gen_health_z_score",0.2396,0.2387,0.004,3.704
"56","gender",0.2395,0.2387,0.003,2.732
"57","genhealth",0.2395,0.2387,0.003,3.717
"58","get_up_bathroom",0.2387,0.2387,0,-1.909
"59","get_up_time_hours",0.2386,0.2387,-0.001,-2.967
"60","get_up_time_minutes",0.2387,0.2387,0,-0.093
"61","gold1",0.2387,0.2387,0,0.393
"62","gold2",0.2387,0.2387,0,-0.674
"63","goldclass",0.2387,0.2387,0,-0.068
"64","h2_blockers",0.2387,0.2387,0,0.184
"65","have_pain",0.2387,0.2387,0,0.821
"66","hearmean",0.2386,0.2387,0,-1.116
"67","hispanic",0.2387,0.2387,0,1.119
"68","hosp1yr",0.2388,0.2387,0,1.596
"69","ics",0.2388,0.2387,0,2.359
"70","icslaba",0.2387,0.2387,0,-0.469
"71","icslabalama",0.2387,0.2387,0,1.39
"72","icslama",0.2387,0.2387,0,-0.876
"73","icsonly",0.2387,0.2387,0,-0.399
"74","laba",0.2388,0.2387,0,2.103
"75","labalama",0.2387,0.2387,0,-0.373
"76","labaonly",0.2387,0.2387,0,1.119
"77","lama",0.2389,0.2387,0.001,1.82
"78","lamaonly",0.2387,0.2387,0,0.071
"79","lastYear",0.2387,0.2387,0,1.058
"80","looks_forward",0.2387,0.2387,0,-0.221
"81","loud_cough_snore",0.2386,0.2387,0,-1.677
"82","mental_health_z_score",0.2388,0.2387,0,0.892
"83","misc_baseline_meds",0.2387,0.2387,0,1.119
"84","native",0.2387,0.2387,0,1.119
"85","noRecentMem",0.2399,0.2387,0.005,5.143
"86","no_interest_in_appearance",0.2387,0.2387,0,-1.865
"87","nowsmk",0.2388,0.2387,0,1.817
"88","on_laba_lama_ics",0.2388,0.2387,0,1.685
"89","oneMonth",0.2391,0.2387,0.002,6.971
"90","other_chol_reducers",0.2387,0.2387,0,-1.608
"91","otherrace",0.2387,0.2387,0,1.119
"92","oxygen",0.2388,0.2387,0,1.875
"93","oxygen_use",0.2389,0.2387,0.001,2.642
"94","pacific",0.2387,0.2387,0,1.119
"95","packyears",0.2386,0.2387,-0.001,-0.642
"96","pain",0.2392,0.2387,0.002,3.025
"97","pain_z_score",0.239,0.2387,0.001,2.946
"98","panic4",0.2387,0.2387,0,-1.499
"99","past_month_medication",0.2387,0.2387,0,-0.502
"100","phlegm",0.239,0.2387,0.001,2.671
"101","physfunc",0.2388,0.2387,0,-0.565
"102","physical_z_score",0.2386,0.2387,0,-1.218
"103","proton_pump_inhibitors",0.2388,0.2387,0,0.945
"104","pseudoEst",0.2387,0.2387,0,1.119
"105","rateExacerb",0.2403,0.2387,0.006,5.667
"106","role_phys_z_score",0.2387,0.2387,0,0.88
"107","roleemo",0.2388,0.2387,0,0.794
"108","rolephys",0.2386,0.2387,0,-0.331
"109","season",0.2387,0.2387,0,-0.057
"110","seen_mental_health_provider_dep_anx",0.2388,0.2387,0,0.616
"111","sixMonths",0.2387,0.2387,0,-0.249
"112","sleep1",0.2388,0.2387,0,2.207
"113","sleep_disturbances",0.2387,0.2387,0,-0.413
"114","sleep_duration",0.2387,0.2387,0,-0.811
"115","sleep_dysfunction",0.2387,0.2387,0,0.787
"116","sleep_efficiency",0.2387,0.2387,0,-1.163
"117","sleep_latency",0.2387,0.2387,0,-1.094
"118","sleep_medication",0.2387,0.2387,0,-0.578
"119","sleep_qual_overall",0.2387,0.2387,0,-0.228
"120","sleep_quality_global",0.2386,0.2387,0,-1.409
"121","sleep_quality_subjective",0.2387,0.2387,0,-0.474
"122","socfunc",0.2386,0.2387,0,-1.609
"123","social_z_score",0.2386,0.2387,0,-2.648
"124","statin",0.2388,0.2387,0,1.059
"125","statins",0.2387,0.2387,0,0.439
"126","ster1yr",0.2389,0.2387,0.001,2.24
"127","stgtotalc",0.2385,0.2387,-0.001,-0.349
"128","still_enjoy_things",0.2387,0.2387,0,-0.969
"129","still_laughs",0.2387,0.2387,0,0.33
"130","sudden_feelings_panic",0.2387,0.2387,0,0.33
"131","theophylline_use",0.2387,0.2387,0,-0.81
"132","threeMonths",0.2388,0.2387,0.001,5.64
"133","time_bedtime_qs_asked",0.2387,0.2387,0,-2.201
"134","time_wakeup_qs_asked",0.2387,0.2387,0,1.119
"135","too_cold_sleep",0.2387,0.2387,0,0.234
"136","too_hot_sleep",0.2387,0.2387,0,-0.295
"137","trouble_waking",0.2387,0.2387,0,-0.384
"138","trtgroup",0.2394,0.2387,0.003,2.572
"139","vasodilator_use",0.2387,0.2387,0,-1.826
"140","wakeup_mid_night",0.2387,0.2387,0,-1.829
"141","white",0.2387,0.2387,0,-0.685
"142","worries",0.2387,0.2387,0,0.036
