"","Predictor","Marginalized error","Model error","Relative change","Z-value"
"1","ASP",0.2378,0.2378,0,0.035
"2","AWFUL_N241_C",0.2379,0.2378,0,0.068
"3","CCB",0.2378,0.2378,0,-1.357
"4","FALLMN_N242_C",0.2378,0.2378,0,-1.105
"5","FEF2575_post_bronchodilator",0.2378,0.2378,0,1.651
"6","FVC_post_bronchodilator",0.2378,0.2378,0,0.411
"7","LEU_",0.2382,0.2378,0.002,3.026
"8","POFEFM_",0.2379,0.2378,0,1.502
"9","SGRQ_activity",0.2375,0.2378,-0.001,-3.56
"10","SGRQ_impact",0.2376,0.2378,-0.001,-2.814
"11","SGRQ_symptoms",0.2391,0.2378,0.005,4.589
"12","TENSE_N241_C",0.2378,0.2378,0,-0.985
"13","ace_inibitors",0.2379,0.2378,0,1.155
"14","actual_hours_sleep",0.2378,0.2378,0,-0.507
"15","advair_symbircort",0.2378,0.2378,0,-0.202
"16","age",0.2378,0.2378,0,0.357
"17","aggregate_mental_z_score",0.2377,0.2378,0,-1.062
"18","anti_arrythmics",0.2378,0.2378,0,2.028
"19","anti_coags",0.238,0.2378,0,1.107
"20","anxiety_HADS",0.2378,0.2378,0,-0.401
"21","arb_use",0.2379,0.2378,0,0.367
"22","asian",0.2378,0.2378,0,2.028
"23","bad_dreams",0.2379,0.2378,0,0.641
"24","bedtime_hours",0.2379,0.2378,0,0.616
"25","bedtime_minutes",0.2379,0.2378,0,0.636
"26","beta_blocker_non_selective",0.2378,0.2378,0,2.028
"27","beta_blocker_selective",0.2378,0.2378,0,-0.009
"28","beta_blocker_use",0.2378,0.2378,0,-0.701
"29","black",0.2378,0.2378,0,-1.098
"30","breathing_discomfort",0.2378,0.2378,0,0.333
"31","bronchitis",0.2381,0.2378,0.001,2.653
"32","can_enjoy_entertainment",0.2378,0.2378,0,-0.087
"33","can_feel_relaxed",0.2379,0.2378,0,0.425
"34","catTimeSince",0.2394,0.2378,0.007,6.231
"35","checkIn",0.2379,0.2378,0,3.622
"36","clinic",0.2379,0.2378,0,0.378
"37","depression_HADS",0.2378,0.2378,0,-1.53
"38","digitalis",0.2378,0.2378,0,-0.816
"39","diuretics",0.2379,0.2378,0,1.121
"40","emotional_z_score",0.2379,0.2378,0,0.421
"41","emowell",0.2378,0.2378,0,-0.242
"42","energy",0.2379,0.2378,0,1.892
"43","energy_z_score",0.2379,0.2378,0,1.482
"44","enthusiastic_issues",0.2379,0.2378,0,0.672
"45","experiencedSevere",0.238,0.2378,0.001,4.137
"46","fails_sleep_in_30min",0.2378,0.2378,0,-0.33
"47","feels_butterfly_fright",0.2378,0.2378,0,-0.185
"48","feels_cheerful",0.2379,0.2378,0,0.643
"49","feels_restless",0.2379,0.2378,0,1.757
"50","feels_slowed_down",0.2378,0.2378,0,-0.784
"51","fev1_liters",0.2378,0.2378,0,1.356
"52","fev1_predicted_baseline",0.2377,0.2378,0,1.311
"53","fev1fvcpct_",0.2379,0.2378,0,1.59
"54","fvc_liters",0.2377,0.2378,-0.001,-0.269
"55","gen_health_z_score",0.2388,0.2378,0.004,3.838
"56","gender",0.2383,0.2378,0.002,2.22
"57","genhealth",0.2385,0.2378,0.003,3.452
"58","get_up_bathroom",0.2379,0.2378,0,0.967
"59","get_up_time_hours",0.2378,0.2378,0,0.138
"60","get_up_time_minutes",0.2379,0.2378,0,0.473
