"","Predictor","Marginalized error","Model error","Relative change","Z-value"
"5","timeSince",0.2449,0.2399,0.021,8.292
"26","SGRQ_symptoms",0.2411,0.2399,0.005,4.11
"24","trtgroup",0.2408,0.2399,0.003,2.435
"90","genhealth",0.2407,0.2399,0.003,3.633
"120","gen_health_z_score",0.2407,0.2399,0.003,3.188
"11","gender",0.2406,0.2399,0.003,2.609
"14","hosp1yr",0.2405,0.2399,0.002,3.152
"89","pain",0.2404,0.2399,0.002,3.347
"119","pain_z_score",0.2404,0.2399,0.002,3.299
"6","experiencedSevere",0.2403,0.2399,0.001,3.843
"23","ster1yr",0.2402,0.2399,0.001,2.066
"74","seen_mental_health_provider_dep_anx",0.2402,0.2399,0.001,2.34
"93","oxygen_use",0.2402,0.2399,0.001,2.091
"94","LEU_",0.2402,0.2399,0.001,1.834
"10","clinic",0.2401,0.2399,0.001,1.465
"21","phlegm",0.2401,0.2399,0.001,2.399
"66","can_feel_relaxed",0.2401,0.2399,0.001,2.216
"91","fev1fvcpct_",0.2401,0.2399,0,1.607
"111","anti_coags",0.2401,0.2399,0,1.107
"9","bronchitis",0.24,0.2399,0,1.859
"16","nowsmk",0.24,0.2399,0,1.697
"18","oxygen",0.24,0.2399,0,1.546
"36","sleep_dysfunction",0.24,0.2399,0,0.807
"54","enthusiastic_issues",0.24,0.2399,0,0.667
"58","anxiety_HADS",0.24,0.2399,0,1.135
"60","TENSE_N241_C",0.24,0.2399,0,0.773
"61","still_enjoy_things",0.24,0.2399,0,-0.142
"62","AWFUL_N241_C",0.24,0.2399,0,-0.196
"65","feels_cheerful",0.24,0.2399,0,-0.057
"70","feels_restless",0.24,0.2399,0,0.805
"75","fev1_liters",0.24,0.2399,0,1.76
"78","ics",0.24,0.2399,0,1.833
"79","laba",0.24,0.2399,0,1.518
"80","lama",0.24,0.2399,0,0.958
"85","roleemo",0.24,0.2399,0,0.648
"86","energy",0.24,0.2399,0,2.025
"95","proton_pump_inhibitors",0.24,0.2399,0,1.047
"126","on_laba_lama_ics",0.24,0.2399,0,1.923
"130","icslaba",0.24,0.2399,0,0.56
"132","labalama",0.24,0.2399,0,0.817
"133","icslabalama",0.24,0.2399,0,1.349
"137","panic4",0.24,0.2399,0,0.626
"1","pseudoEst",0.2399,0.2399,0,-0.336
"3","checkIn",0.2399,0.2399,0,-0.192
"7","asian",0.2399,0.2399,0,-0.336
"8","black",0.2399,0.2399,0,-1.659
"12","goldclass",0.2399,0.2399,0,-0.252
"13","hispanic",0.2399,0.2399,0,-0.336
"15","native",0.2399,0.2399,0,-0.822
"17","otherrace",0.2399,0.2399,0,-0.336
"19","pacific",0.2399,0.2399,0,-0.336
"20","packyears",0.2399,0.2399,0,0.361
"22","season",0.2399,0.2399,0,-0.291
"25","white",0.2399,0.2399,0,-1.026
"30","sleep_quality_subjective",0.2399,0.2399,0,-1.508
"31","sleep_latency",0.2399,0.2399,0,-0.777
"32","sleep_duration",0.2399,0.2399,0,-0.164
"33","sleep_medication",0.2399,0.2399,0,-0.764
"34","sleep_efficiency",0.2399,0.2399,0,0.048
"35","sleep_disturbances",0.2399,0.2399,0,-0.131
"37","bedtime_hours",0.2399,0.2399,0,0.406
"38","bedtime_minutes",0.2399,0.2399,0,0.163
"39","FALLMN_N242_C",0.2399,0.2399,0,-0.218
"40","get_up_time_hours",0.2399,0.2399,0,-0.382
"41","get_up_time_minutes",0.2399,0.2399,0,-2.339
