"","Predictor","Marginalized error","Model error","Relative change","Z-value"
"5","timeSince",0.2453,0.2404,0.02,8.132
"26","SGRQ_symptoms",0.2414,0.2404,0.004,3.611
"90","genhealth",0.2414,0.2404,0.004,3.938
"24","trtgroup",0.2412,0.2404,0.003,2.75
"11","gender",0.241,0.2404,0.003,2.451
"120","gen_health_z_score",0.241,0.2404,0.003,3.074
"89","pain",0.2409,0.2404,0.002,3.346
"119","pain_z_score",0.2409,0.2404,0.002,3.392
"14","hosp1yr",0.2408,0.2404,0.002,2.53
"6","experiencedSevere",0.2407,0.2404,0.001,5.036
"94","LEU_",0.2407,0.2404,0.001,2.408
"21","phlegm",0.2406,0.2404,0.001,2.395
"23","ster1yr",0.2406,0.2404,0.001,1.754
"74","seen_mental_health_provider_dep_anx",0.2406,0.2404,0.001,1.667
"79","laba",0.2406,0.2404,0.001,3.012
"9","bronchitis",0.2405,0.2404,0.001,1.959
"16","nowsmk",0.2405,0.2404,0,2.5
"18","oxygen",0.2405,0.2404,0.001,1.99
"75","fev1_liters",0.2405,0.2404,0,1.954
"78","ics",0.2405,0.2404,0,2.136
"85","roleemo",0.2405,0.2404,0.001,2.69
"86","energy",0.2405,0.2404,0.001,2.183
"93","oxygen_use",0.2405,0.2404,0,1.357
"111","anti_coags",0.2405,0.2404,0.001,1.593
"126","on_laba_lama_ics",0.2405,0.2404,0.001,2.104
"1","pseudoEst",0.2404,0.2404,0,0.815
"3","checkIn",0.2404,0.2404,0,0.187
"7","asian",0.2404,0.2404,0,0.815
"8","black",0.2404,0.2404,0,-2.033
"10","clinic",0.2404,0.2404,0,0.356
"12","goldclass",0.2404,0.2404,0,0.094
"13","hispanic",0.2404,0.2404,0,0.815
"15","native",0.2404,0.2404,0,0.281
"17","otherrace",0.2404,0.2404,0,0.815
"19","pacific",0.2404,0.2404,0,0.815
"22","season",0.2404,0.2404,0,0.852
"25","white",0.2404,0.2404,0,-0.685
"30","sleep_quality_subjective",0.2404,0.2404,0,-1.843
"31","sleep_latency",0.2404,0.2404,0,-0.692
"32","sleep_duration",0.2404,0.2404,0,-0.618
"33","sleep_medication",0.2404,0.2404,0,-0.886
"36","sleep_dysfunction",0.2404,0.2404,0,0.052
"37","bedtime_hours",0.2404,0.2404,0,0.57
"38","bedtime_minutes",0.2404,0.2404,0,0.629
"39","FALLMN_N242_C",0.2404,0.2404,0,0.068
"41","get_up_time_minutes",0.2404,0.2404,0,-0.861
"43","fails_sleep_in_30min",0.2404,0.2404,0,-1.069
"44","wakeup_mid_night",0.2404,0.2404,0,-0.46
"45","get_up_bathroom",0.2404,0.2404,0,0.2
"46","breathing_discomfort",0.2404,0.2404,0,0.689
"49","too_hot_sleep",0.2404,0.2404,0,-0.134
"51","have_pain",0.2404,0.2404,0,0.452
"52","past_month_medication",0.2404,0.2404,0,-1.146
"53","trouble_waking",0.2404,0.2404,0,-0.997
"54","enthusiastic_issues",0.2404,0.2404,0,0.319
"55","sleep_qual_overall",0.2404,0.2404,0,-1.869
"56","time_bedtime_qs_asked",0.2404,0.2404,0,-0.202
"57","time_wakeup_qs_asked",0.2404,0.2404,0,0.815
"58","anxiety_HADS",0.2404,0.2404,0,-0.435
"60","TENSE_N241_C",0.2404,0.2404,0,0.666
"61","still_enjoy_things",0.2404,0.2404,0,-0.871
"62","AWFUL_N241_C",0.2404,0.2404,0,0.095
"63","still_laughs",0.2404,0.2404,0,0.135
"64","worries",0.2404,0.2404,0,-0.481
"65","feels_cheerful",0.2404,0.2404,0,0.132
"66","can_feel_relaxed",0.2404,0.2404,0,0.195
"69","no_interest_in_appearance",0.2404,0.2404,0,1.182
"70","feels_restless",0.2404,0.2404,0,0.492
"71","looks_forward",0.2404,0.2404,0,-1.761
"72","sudden_feelings_panic",0.2404,0.2404,0,0.449
"73","can_enjoy_entertainment",0.2404,0.2404,0,-0.592
"76","fvc_liters",0.2404,0.2404,0,1.083
"80","lama",0.2404,0.2404,0,0.817
"83","physfunc",0.2404,0.2404,0,-1.718
"87","emowell",0.2404,0.2404,0,-0.629
"92","theophylline_use",0.2404,0.2404,0,-0.917
"96","h2_blockers",0.2404,0.2404,0,-1.417
"100","ace_inibitors",0.2404,0.2404,0,-0.333
"101","arb_use",0.2404,0.2404,0,-0.167
"102","beta_blocker_use",0.2404,0.2404,0,0.991
"103","beta_blocker_non_selective",0.2404,0.2404,0,0.815
"104","beta_blocker_selective",0.2404,0.2404,0,-0.486
"105","CCB",0.2404,0.2404,0,-0.479
"106","anti_arrythmics",0.2404,0.2404,0,0.815
"107","statins",0.2404,0.2404,0,0.066
"108","diuretics",0.2404,0.2404,0,0.346
"109","misc_baseline_meds",0.2404,0.2404,0,0.815
"110","vasodilator_use",0.2404,0.2404,0,-2.184
"112","other_chol_reducers",0.2404,0.2404,0,-0.406
"113","digitalis",0.2404,0.2404,0,0.104
"114","ASP",0.2404,0.2404,0,-0.001
"116","statin",0.2404,0.2404,0,-0.087
"121","energy_z_score",0.2404,0.2404,0,1.672
"122","social_z_score",0.2404,0.2404,0,-0.456
"123","emotional_z_score",0.2404,0.2404,0,0.676
"127","icsonly",0.2404,0.2404,0,-0.595
"128","labaonly",0.2404,0.2404,0,-1.02
"129","lamaonly",0.2404,0.2404,0,-0.976
"130","icslaba",0.2404,0.2404,0,0.572
"131","icslama",0.2404,0.2404,0,0.326
"132","labalama",0.2404,0.2404,0,-0.998
"133","icslabalama",0.2404,0.2404,0,0.918
"134","gold2",0.2404,0.2404,0,1.047
"136","sleep1",0.2404,0.2404,0,1.818
"4","age",0.2403,0.2404,0,0.242
"29","sleep_quality_global",0.2403,0.2404,0,-0.239
"34","sleep_efficiency",0.2403,0.2404,0,-0.943
"35","sleep_disturbances",0.2403,0.2404,0,-0.206
"40","get_up_time_hours",0.2403,0.2404,0,-1.204
"42","actual_hours_sleep",0.2403,0.2404,0,-2.195
"47","loud_cough_snore",0.2403,0.2404,0,-0.956
"48","too_cold_sleep",0.2403,0.2404,0,-1.776
"50","bad_dreams",0.2403,0.2404,0,-2.111
"59","depression_HADS",0.2403,0.2404,0,-1.601
"67","feels_slowed_down",0.2403,0.2404,0,-2.117
"68","feels_butterfly_fright",0.2403,0.2404,0,-1.986
"77","fev1_predicted_baseline",0.2403,0.2404,0,1.05
"81","advair_symbircort",0.2403,0.2404,0,-1.128
"84","rolephys",0.2403,0.2404,0,-0.535
"88","socfunc",0.2403,0.2404,0,-1.257
"91","fev1fvcpct_",0.2403,0.2404,0,0.944
"95","proton_pump_inhibitors",0.2403,0.2404,0,-0.547
"99","POFEFM_",0.2403,0.2404,-0.001,0.905
"117","physical_z_score",0.2403,0.2404,0,-0.667
"118","role_phys_z_score",0.2403,0.2404,0,-0.227
"124","mental_health_z_score",0.2403,0.2404,0,-1.559
"135","gold1",0.2403,0.2404,0,-1.24
