"","Predictor","Marginalized error","Model error","Relative change","Z-value"
"4","timeSince",0.2446,0.2396,0.021,8.427
"25","SGRQ_symptoms",0.2406,0.2396,0.004,3.835
"89","genhealth",0.2404,0.2396,0.004,3.395
"119","gen_health_z_score",0.2404,0.2396,0.003,3.218
"10","gender",0.2403,0.2396,0.003,2.717
"23","trtgroup",0.2403,0.2396,0.003,2.565
"13","hosp1yr",0.2402,0.2396,0.002,2.614
"93","LEU_",0.2401,0.2396,0.002,3.042
"88","pain",0.24,0.2396,0.002,3.412
"5","experiencedSevere",0.2399,0.2396,0.001,4.679
"118","pain_z_score",0.2399,0.2396,0.001,2.549
"20","phlegm",0.2398,0.2396,0.001,2.343
"22","ster1yr",0.2398,0.2396,0.001,2.382
"110","anti_coags",0.2398,0.2396,0.001,1.972
"15","nowsmk",0.2397,0.2396,0.001,2.337
"17","oxygen",0.2397,0.2396,0,1.795
"64","feels_cheerful",0.2397,0.2396,0,2.572
"73","seen_mental_health_provider_dep_anx",0.2397,0.2396,0.001,1.393
"77","ics",0.2397,0.2396,0,2.341
"78","laba",0.2397,0.2396,0.001,2.267
"92","oxygen_use",0.2397,0.2396,0.001,1.599
"1","pseudoEst",0.2396,0.2396,0,0.964
"2","checkIn",0.2396,0.2396,0,0.48
"6","asian",0.2396,0.2396,0,0.964
"11","goldclass",0.2396,0.2396,0,0.447
"12","hispanic",0.2396,0.2396,0,0.964
"16","otherrace",0.2396,0.2396,0,0.964
"18","pacific",0.2396,0.2396,0,0.964
"24","white",0.2396,0.2396,0,0.934
"31","sleep_duration",0.2396,0.2396,0,-0.017
"33","sleep_efficiency",0.2396,0.2396,0,0.658
"43","wakeup_mid_night",0.2396,0.2396,0,1.103
"47","too_cold_sleep",0.2396,0.2396,0,0.312
"49","bad_dreams",0.2396,0.2396,0,-0.271
"50","have_pain",0.2396,0.2396,0,0.241
"54","sleep_qual_overall",0.2396,0.2396,0,0.399
"55","time_bedtime_qs_asked",0.2396,0.2396,0,-0.109
"56","time_wakeup_qs_asked",0.2396,0.2396,0,0.964
"57","anxiety_HADS",0.2396,0.2396,0,0.096
"59","TENSE_N241_C",0.2396,0.2396,0,0.48
"61","AWFUL_N241_C",0.2396,0.2396,0,1.134
"65","can_feel_relaxed",0.2396,0.2396,0,1.073
"66","feels_slowed_down",0.2396,0.2396,0,1.542
"69","feels_restless",0.2396,0.2396,0,0.568
"74","fev1_liters",0.2396,0.2396,0,1.167
"76","fev1_predicted_baseline",0.2396,0.2396,0,1.508
"79","lama",0.2396,0.2396,0,0.786
"80","advair_symbircort",0.2396,0.2396,0,0.509
"84","roleemo",0.2396,0.2396,0,0.536
"90","fev1fvcpct_",0.2396,0.2396,0,1.759
"95","h2_blockers",0.2396,0.2396,0,-0.551
"99","ace_inibitors",0.2396,0.2396,0,1.298
"101","beta_blocker_use",0.2396,0.2396,0,-0.664
"102","beta_blocker_non_selective",0.2396,0.2396,0,0.964
"105","anti_arrythmics",0.2396,0.2396,0,0.964
"108","misc_baseline_meds",0.2396,0.2396,0,0.964
"109","vasodilator_use",0.2396,0.2396,0,-0.866
"112","digitalis",0.2396,0.2396,0,-0.439
"115","statin",0.2396,0.2396,0,0.762
"122","emotional_z_score",0.2396,0.2396,0,-0.011
"125","on_laba_lama_ics",0.2396,0.2396,0,1.399
"126","icsonly",0.2396,0.2396,0,0.964
"127","labaonly",0.2396,0.2396,0,0.964
"129","icslaba",0.2396,0.2396,0,0.972
"130","icslama",0.2396,0.2396,0,-0.138
"131","labalama",0.2396,0.2396,0,-0.118
"132","icslabalama",0.2396,0.2396,0,1.466
"135","sleep1",0.2396,0.2396,0,0.539
"136","panic4",0.2396,0.2396,0,0.511
"3","age",0.2395,0.2396,0,0.241
"7","black",0.2395,0.2396,0,-1.958
"9","clinic",0.2395,0.2396,0,0.306
"14","native",0.2395,0.2396,0,-0.938
"19","packyears",0.2395,0.2396,0,-0.319
"21","season",0.2395,0.2396,0,-0.351
"28","sleep_quality_global",0.2395,0.2396,0,-0.283
"29","sleep_quality_subjective",0.2395,0.2396,0,-2.584
"30","sleep_latency",0.2395,0.2396,0,-0.149
"32","sleep_medication",0.2395,0.2396,0,-1.129
"34","sleep_disturbances",0.2395,0.2396,0,-0.975
"35","sleep_dysfunction",0.2395,0.2396,0,-0.378
"36","bedtime_hours",0.2395,0.2396,0,-0.256
"37","bedtime_minutes",0.2395,0.2396,0,0.06
"38","FALLMN_N242_C",0.2395,0.2396,0,-0.147
"39","get_up_time_hours",0.2395,0.2396,0,-1.314
"40","get_up_time_minutes",0.2395,0.2396,0,-1.362
"41","actual_hours_sleep",0.2395,0.2396,0,-0.929
"42","fails_sleep_in_30min",0.2395,0.2396,0,-1.92
"44","get_up_bathroom",0.2395,0.2396,0,-0.808
"45","breathing_discomfort",0.2395,0.2396,0,-0.388
"46","loud_cough_snore",0.2395,0.2396,0,0.048
"48","too_hot_sleep",0.2395,0.2396,0,-0.764
"51","past_month_medication",0.2395,0.2396,0,-1.556
"52","trouble_waking",0.2395,0.2396,0,-1.088
"53","enthusiastic_issues",0.2395,0.2396,0,0.442
"58","depression_HADS",0.2395,0.2396,0,-1.889
"60","still_enjoy_things",0.2395,0.2396,0,-1.574
"62","still_laughs",0.2395,0.2396,0,-1.734
"63","worries",0.2395,0.2396,0,-1.264
"67","feels_butterfly_fright",0.2395,0.2396,0,-1.119
"68","no_interest_in_appearance",0.2395,0.2396,0,-1.029
"70","looks_forward",0.2395,0.2396,0,-0.366
"71","sudden_feelings_panic",0.2395,0.2396,0,-0.789
"72","can_enjoy_entertainment",0.2395,0.2396,0,-0.568
"83","rolephys",0.2395,0.2396,0,0.715
"85","energy",0.2395,0.2396,0,0.694
"86","emowell",0.2395,0.2396,0,-0.99
"87","socfunc",0.2395,0.2396,0,-1.984
"91","theophylline_use",0.2395,0.2396,0,-2.128
"94","proton_pump_inhibitors",0.2395,0.2396,0,-0.183
"97","FEF2575_post_bronchodilator",0.2395,0.2396,0,1.441
"98","POFEFM_",0.2395,0.2396,0,0.85
"100","arb_use",0.2395,0.2396,0,-2.067
"103","beta_blocker_selective",0.2395,0.2396,0,-0.637
"104","CCB",0.2395,0.2396,0,-0.377
"106","statins",0.2395,0.2396,0,-0.985
"107","diuretics",0.2395,0.2396,0,-1.861
"111","other_chol_reducers",0.2395,0.2396,0,-1.854
"113","ASP",0.2395,0.2396,0,-0.582
"116","physical_z_score",0.2395,0.2396,0,-1.378
"117","role_phys_z_score",0.2395,0.2396,0,0.775
"120","energy_z_score",0.2395,0.2396,0,0.638
"121","social_z_score",0.2395,0.2396,0,-1.14
"123","mental_health_z_score",0.2395,0.2396,0,-0.455
"128","lamaonly",0.2395,0.2396,0,-0.435
"133","gold2",0.2395,0.2396,0,-1.845
"134","gold1",0.2395,0.2396,0,-1.343
"8","bronchitis",0.2394,0.2396,-0.001,0.875
"26","SGRQ_activity",0.2394,0.2396,-0.001,-2.215
"75","fvc_liters",0.2394,0.2396,-0.001,-0.056
"82","physfunc",0.2394,0.2396,-0.001,-1.777
"114","hearmean",0.2394,0.2396,-0.001,-1.725
"124","aggregate_mental_z_score",0.2394,0.2396,-0.001,-0.671
"27","SGRQ_impact",0.2393,0.2396,-0.001,-2.143
"96","FVC_post_bronchodilator",0.2393,0.2396,-0.001,-0.303
"81","stgtotalc",0.2392,0.2396,-0.001,-0.018
