"","Predictor","Marginalized error","Model error","Relative change","Z-value"
"1","ASP",0.2392,0.2392,0,-0.517
"2","AWFUL_N241_C",0.2393,0.2392,0,2.056
"3","CCB",0.2392,0.2392,0,-0.595
"4","FALLMN_N242_C",0.2392,0.2392,0,-0.467
"5","FEF2575_post_bronchodilator",0.2391,0.2392,-0.001,0.306
"6","FVC_post_bronchodilator",0.2391,0.2392,-0.001,-0.373
"7","LEU_",0.2395,0.2392,0.001,2.691
"8","POFEFM_",0.2392,0.2392,0,0.889
"9","SGRQ_activity",0.2391,0.2392,-0.001,-2.359
"10","SGRQ_impact",0.239,0.2392,-0.001,-1.682
"11","SGRQ_symptoms",0.2404,0.2392,0.005,4.201
"12","TENSE_N241_C",0.2392,0.2392,0,-0.739
"13","ace_inibitors",0.2392,0.2392,0,-1.132
"14","actual_hours_sleep",0.239,0.2392,-0.001,-3.519
"15","advair_symbircort",0.2391,0.2392,0,-1.43
"16","age",0.239,0.2392,-0.001,-0.38
"17","aggregate_mental_z_score",0.239,0.2392,-0.001,-1.176
"18","anti_arrythmics",0.2392,0.2392,0,-1.364
"19","anti_coags",0.2393,0.2392,0.001,1.715
"20","anxiety_HADS",0.2394,0.2392,0.001,2.192
"21","arb_use",0.2392,0.2392,0,-1.557
"22","asian",0.2392,0.2392,0,-1.364
"23","bad_dreams",0.2392,0.2392,0,-2.191
"24","bedtime_hours",0.2392,0.2392,0,-0.178
"25","bedtime_minutes",0.2392,0.2392,0,0.727
"26","beta_blocker_non_selective",0.2392,0.2392,0,-1.364
"27","beta_blocker_selective",0.2391,0.2392,0,-2.648
"28","beta_blocker_use",0.2392,0.2392,0,0.442
"29","black",0.2392,0.2392,0,-0.142
"30","breathing_discomfort",0.2392,0.2392,0,0.741
"31","bronchitis",0.2394,0.2392,0.001,2.94
"32","can_enjoy_entertainment",0.2392,0.2392,0,-1.86
"33","can_feel_relaxed",0.2392,0.2392,0,-0.007
"34","catTimeSince",0.2412,0.2392,0.008,6.764
"35","checkIn",0.2392,0.2392,0,3.228
