"","Predictor","Marginalized error","Model error","Relative change","Z-value"
"1","ASP",0.2388,0.2388,0,-0.449
"2","AWFUL_N241_C",0.2389,0.2388,0,1.026
"3","CCB",0.2388,0.2388,0,-0.411
"4","FALLMN_N242_C",0.2389,0.2388,0,0.129
"5","FEF2575_post_bronchodilator",0.2388,0.2388,0,1.757
"6","FVC_post_bronchodilator",0.2389,0.2388,0,1.169
"7","LEU_",0.2392,0.2388,0.001,2.927
"8","POFEFM_",0.2387,0.2388,0,1.071
"9","SGRQ_activity",0.2386,0.2388,-0.001,-2.495
"10","SGRQ_impact",0.2387,0.2388,-0.001,-1.808
"11","SGRQ_symptoms",0.2398,0.2388,0.004,4.027
"12","TENSE_N241_C",0.2388,0.2388,0,-1.163
"13","ace_inibitors",0.2388,0.2388,0,-1.131
"14","actual_hours_sleep",0.2387,0.2388,0,-1.611
"15","advair_symbircort",0.2388,0.2388,0,-1.252
"16","age",0.2387,0.2388,-0.001,-0.272
"17","aggregate_mental_z_score",0.2387,0.2388,-0.001,-1.289
"18","anti_arrythmics",0.2388,0.2388,0,-0.783
"19","anti_coags",0.239,0.2388,0.001,1.454
"20","anxiety_HADS",0.2388,0.2388,0,-0.317
"21","arb_use",0.2388,0.2388,0,-0.917
"22","asian",0.2388,0.2388,0,-0.783
"23","bad_dreams",0.2388,0.2388,0,-0.867
"24","bedtime_hours",0.2389,0.2388,0,0.886
"25","bedtime_minutes",0.2388,0.2388,0,-0.131
"26","beta_blocker_non_selective",0.2388,0.2388,0,-0.783
"27","beta_blocker_selective",0.2388,0.2388,0,-0.003
"28","beta_blocker_use",0.2388,0.2388,0,-0.495
"29","black",0.2388,0.2388,0,-0.773
"30","breathing_discomfort",0.2388,0.2388,0,-0.647
"31","bronchitis",0.239,0.2388,0.001,2.354
"32","can_enjoy_entertainment",0.2388,0.2388,0,-1.719
"33","can_feel_relaxed",0.2389,0.2388,0,1.322
"34","catTimeSince",0.2408,0.2388,0.008,6.582
"35","checkIn",0.2389,0.2388,0,2.111
"36","clinic",0.2388,0.2388,0,0.099
"37","depression_HADS",0.2388,0.2388,0,-0.218
"38","digitalis",0.2388,0.2388,0,-0.783
"39","diuretics",0.2388,0.2388,0,-0.298
"40","emotional_z_score",0.2389,0.2388,0,0.481
"41","emowell",0.2387,0.2388,-0.001,-1.124
"42","energy",0.2389,0.2388,0,1.719
"43","energy_z_score",0.2388,0.2388,0,1.089
"44","enthusiastic_issues",0.2388,0.2388,0,-0.687
"45","experiencedSevere",0.2391,0.2388,0.001,4.997
"46","fails_sleep_in_30min",0.2387,0.2388,0,-1.97
"47","feels_butterfly_fright",0.2388,0.2388,0,-0.059
"48","feels_cheerful",0.2388,0.2388,0,0.757
"49","feels_restless",0.2388,0.2388,0,-0.767
"50","feels_slowed_down",0.2388,0.2388,0,1.184
"51","fev1_liters",0.2389,0.2388,0,1.638
"52","fev1_predicted_baseline",0.2387,0.2388,0,0.807
"53","fev1fvcpct_",0.2389,0.2388,0,1.654
"54","fvc_liters",0.2387,0.2388,-0.001,-0.038
"55","gen_health_z_score",0.2396,0.2388,0.003,3.562
"56","gender",0.2393,0.2388,0.002,2.244
"57","genhealth",0.2395,0.2388,0.003,3.337
"58","get_up_bathroom",0.2388,0.2388,0,-1.332
"59","get_up_time_hours",0.2388,0.2388,0,-1.214
"60","get_up_time_minutes",0.2388,0.2388,0,0.938
"61","gold1",0.2388,0.2388,0,-0.872
"62","gold2",0.2388,0.2388,0,-0.236
"63","goldclass",0.2388,0.2388,0,-0.054
"64","h2_blockers",0.2388,0.2388,0,1.44
"65","have_pain",0.2388,0.2388,0,0.108
"66","hearmean",0.2388,0.2388,0,-0.662
"67","hispanic",0.2388,0.2388,0,-1.116
"68","hosp1yr",0.239,0.2388,0.001,2.44
"69","ics",0.2389,0.2388,0,2.415
"70","icslaba",0.2389,0.2388,0,0.777
"71","icslabalama",0.2389,0.2388,0,1.934
"72","icslama",0.2388,0.2388,0,0.142
"73","icsonly",0.2388,0.2388,0,-0.531
"74","laba",0.2389,0.2388,0,1.739
"75","labalama",0.2388,0.2388,0,-0.271
"76","labaonly",0.2388,0.2388,0,-0.783
"77","lama",0.2389,0.2388,0,1.009
"78","lamaonly",0.2388,0.2388,0,-1.23
"79","lastYear",0.2389,0.2388,0,2.862
"80","looks_forward",0.2388,0.2388,0,-1.415
