"","Predictor","Marginalized error","Model error","Relative change","Z-value"
"5","timeSince",0.2447,0.2394,0.022,8.396
"26","SGRQ_symptoms",0.2407,0.2394,0.005,4.071
"24","trtgroup",0.2404,0.2394,0.004,3.119
"90","genhealth",0.2403,0.2394,0.004,3.344
"120","gen_health_z_score",0.2403,0.2394,0.003,3.466
"11","gender",0.2402,0.2394,0.003,2.648
"89","pain",0.24,0.2394,0.002,4.164
"14","hosp1yr",0.2399,0.2394,0.002,2.642
"94","LEU_",0.2399,0.2394,0.002,3.208
"119","pain_z_score",0.2399,0.2394,0.002,3.06
"6","experiencedSevere",0.2398,0.2394,0.001,5.108
"9","bronchitis",0.2397,0.2394,0.001,2.468
"21","phlegm",0.2397,0.2394,0.001,2.495
"79","laba",0.2397,0.2394,0.001,3.082
"10","clinic",0.2396,0.2394,0,0.914
"23","ster1yr",0.2396,0.2394,0.001,2.032
"74","seen_mental_health_provider_dep_anx",0.2396,0.2394,0.001,1.427
"85","roleemo",0.2396,0.2394,0.001,2.282
"91","fev1fvcpct_",0.2396,0.2394,0.001,1.955
"126","on_laba_lama_ics",0.2396,0.2394,0.001,2.174
"3","checkIn",0.2395,0.2394,0,1.337
"15","native",0.2395,0.2394,0,0.296
"16","nowsmk",0.2395,0.2394,0,1.472
"18","oxygen",0.2395,0.2394,0,1.388
"22","season",0.2395,0.2394,0,1.326
"36","sleep_dysfunction",0.2395,0.2394,0,2.015
"37","bedtime_hours",0.2395,0.2394,0,0.396
"39","FALLMN_N242_C",0.2395,0.2394,0,0.288
"45","get_up_bathroom",0.2395,0.2394,0,0.284
"46","breathing_discomfort",0.2395,0.2394,0,1.362
"50","bad_dreams",0.2395,0.2394,0,-0.453
"51","have_pain",0.2395,0.2394,0,0.541
"62","AWFUL_N241_C",0.2395,0.2394,0,0.482
"64","worries",0.2395,0.2394,0,-0.616
"66","can_feel_relaxed",0.2395,0.2394,0,0.867
"70","feels_restless",0.2395,0.2394,0,1.314
"78","ics",0.2395,0.2394,0,2.333
"80","lama",0.2395,0.2394,0,0.87
"84","rolephys",0.2395,0.2394,0,0.541
"86","energy",0.2395,0.2394,0,1.402
"87","emowell",0.2395,0.2394,0,0.017
"93","oxygen_use",0.2395,0.2394,0,1.412
"95","proton_pump_inhibitors",0.2395,0.2394,0,0.48
"99","POFEFM_",0.2395,0.2394,0,2.254
"104","beta_blocker_selective",0.2395,0.2394,0,1.675
"107","statins",0.2395,0.2394,0,0.683
"110","vasodilator_use",0.2395,0.2394,0,-0.151
"111","anti_coags",0.2395,0.2394,0,0.97
"114","ASP",0.2395,0.2394,0,0.044
"116","statin",0.2395,0.2394,0,1.393
"121","energy_z_score",0.2395,0.2394,0,1.404
"123","emotional_z_score",0.2395,0.2394,0,0.804
"133","icslabalama",0.2395,0.2394,0,1.301
"136","sleep1",0.2395,0.2394,0,0.914
"1","pseudoEst",0.2394,0.2394,0,-0.305
"2","X",0.2394,0.2394,0,0.052
"7","asian",0.2394,0.2394,0,-0.305
"8","black",0.2394,0.2394,0,-0.828
"12","goldclass",0.2394,0.2394,0,0.014
"13","hispanic",0.2394,0.2394,0,-0.676
"17","otherrace",0.2394,0.2394,0,-0.305
"19","pacific",0.2394,0.2394,0,-0.305
"25","white",0.2394,0.2394,0,-0.229
"29","sleep_quality_global",0.2394,0.2394,0,0.264
"30","sleep_quality_subjective",0.2394,0.2394,0,-1.49
"31","sleep_latency",0.2394,0.2394,0,-1.209
"33","sleep_medication",0.2394,0.2394,0,-1.066
"34","sleep_efficiency",0.2394,0.2394,0,-2.172
"35","sleep_disturbances",0.2394,0.2394,0,0.57
"38","bedtime_minutes",0.2394,0.2394,0,-0.106
"40","get_up_time_hours",0.2394,0.2394,0,-0.97
"41","get_up_time_minutes",0.2394,0.2394,0,-0.377
"43","fails_sleep_in_30min",0.2394,0.2394,0,-1.757
"44","wakeup_mid_night",0.2394,0.2394,0,-0.412
"47","loud_cough_snore",0.2394,0.2394,0,-0.079
"48","too_cold_sleep",0.2394,0.2394,0,-1.489
"49","too_hot_sleep",0.2394,0.2394,0,-0.883
"52","past_month_medication",0.2394,0.2394,0,-1.194
"53","trouble_waking",0.2394,0.2394,0,-1.871
"54","enthusiastic_issues",0.2394,0.2394,0,0.494
"55","sleep_qual_overall",0.2394,0.2394,0,-1.53
"56","time_bedtime_qs_asked",0.2394,0.2394,0,-1.204
"57","time_wakeup_qs_asked",0.2394,0.2394,0,-0.305
"58","anxiety_HADS",0.2394,0.2394,0,-0.857
"59","depression_HADS",0.2394,0.2394,0,-1.907
"60","TENSE_N241_C",0.2394,0.2394,0,-0.244
"61","still_enjoy_things",0.2394,0.2394,0,-1.329
"63","still_laughs",0.2394,0.2394,0,-0.7
"65","feels_cheerful",0.2394,0.2394,0,-0.264
"67","feels_slowed_down",0.2394,0.2394,0,-2.346
"68","feels_butterfly_fright",0.2394,0.2394,0,-0.477
"69","no_interest_in_appearance",0.2394,0.2394,0,-0.932
"71","looks_forward",0.2394,0.2394,0,-0.041
"72","sudden_feelings_panic",0.2394,0.2394,0,-0.887
"73","can_enjoy_entertainment",0.2394,0.2394,0,-0.518
"77","fev1_predicted_baseline",0.2394,0.2394,0,0.723
"81","advair_symbircort",0.2394,0.2394,0,-1.22
"83","physfunc",0.2394,0.2394,0,-1.312
"88","socfunc",0.2394,0.2394,0,-1.387
"92","theophylline_use",0.2394,0.2394,0,-0.869
"96","h2_blockers",0.2394,0.2394,0,-0.597
"97","FVC_post_bronchodilator",0.2394,0.2394,0,0.342
"100","ace_inibitors",0.2394,0.2394,0,-0.596
"101","arb_use",0.2394,0.2394,0,-1.669
"102","beta_blocker_use",0.2394,0.2394,0,0.165
"103","beta_blocker_non_selective",0.2394,0.2394,0,-0.305
"105","CCB",0.2394,0.2394,0,-1.42
"106","anti_arrythmics",0.2394,0.2394,0,-0.305
"108","diuretics",0.2394,0.2394,0,-0.03
"109","misc_baseline_meds",0.2394,0.2394,0,-0.305
"112","other_chol_reducers",0.2394,0.2394,0,-1.046
"113","digitalis",0.2394,0.2394,0,-0.305
"117","physical_z_score",0.2394,0.2394,0,-0.632
"124","mental_health_z_score",0.2394,0.2394,0,-1.07
"127","icsonly",0.2394,0.2394,0,-1.75
"128","labaonly",0.2394,0.2394,0,-0.305
"129","lamaonly",0.2394,0.2394,0,-0.305
"130","icslaba",0.2394,0.2394,0,-0.199
"131","icslama",0.2394,0.2394,0,0.367
"132","labalama",0.2394,0.2394,0,-0.999
"134","gold2",0.2394,0.2394,0,-1.25
"135","gold1",0.2394,0.2394,0,-0.477
"137","panic4",0.2394,0.2394,0,-1.137
"4","age",0.2393,0.2394,0,0.065
"20","packyears",0.2393,0.2394,0,-0.61
"32","sleep_duration",0.2393,0.2394,0,-2.371
"42","actual_hours_sleep",0.2393,0.2394,-0.001,-2.485
"75","fev1_liters",0.2393,0.2394,-0.001,1.112
"76","fvc_liters",0.2393,0.2394,-0.001,-0.49
"98","FEF2575_post_bronchodilator",0.2393,0.2394,0,0.673
"115","hearmean",0.2393,0.2394,-0.001,-1.808
"118","role_phys_z_score",0.2393,0.2394,0,0.052
"122","social_z_score",0.2393,0.2394,0,-2.277
"125","aggregate_mental_z_score",0.2393,0.2394,-0.001,-1.091
"27","SGRQ_activity",0.2392,0.2394,-0.001,-3.134
"28","SGRQ_impact",0.2392,0.2394,-0.001,-1.892
"82","stgtotalc",0.2392,0.2394,-0.001,-0.14
