"","Predictor","Marginalized error","Model error","Relative change","Z-value"
"1","ASP",0.2385,0.2384,0,0.483
"2","AWFUL_N241_C",0.2385,0.2384,0,0.402
"3","CCB",0.2384,0.2384,0,-0.01
"4","FALLMN_N242_C",0.2385,0.2384,0,0.099
"5","FEF2575_post_bronchodilator",0.2383,0.2384,-0.001,0.09
"6","FVC_post_bronchodilator",0.2385,0.2384,0,0.355
"7","LEU_",0.2389,0.2384,0.002,2.838
"8","POFEFM_",0.2385,0.2384,0,1.942
"9","SGRQ_activity",0.2383,0.2384,-0.001,-2.417
"10","SGRQ_impact",0.2382,0.2384,-0.001,-3.1
"11","SGRQ_symptoms",0.2396,0.2384,0.005,4.236
"12","TENSE_N241_C",0.2384,0.2384,0,-0.248
"13","ace_inibitors",0.2385,0.2384,0,-0.227
"14","actual_hours_sleep",0.2384,0.2384,0,-0.999
"15","advair_symbircort",0.2385,0.2384,0,1.151
"16","age",0.2384,0.2384,0,0.204
"17","aggregate_mental_z_score",0.2382,0.2384,-0.001,-2.144
"18","anti_arrythmics",0.2384,0.2384,0,-0.157
"19","anti_coags",0.2385,0.2384,0,0.885
"20","anxiety_HADS",0.2385,0.2384,0,0.69
"21","arb_use",0.2384,0.2384,0,-0.628
"22","asian",0.2384,0.2384,0,-0.157
"23","bad_dreams",0.2384,0.2384,0,-1.197
"24","bedtime_hours",0.2385,0.2384,0,0.965
"25","bedtime_minutes",0.2385,0.2384,0,1.456
"26","beta_blocker_non_selective",0.2384,0.2384,0,-0.157
"27","beta_blocker_selective",0.2385,0.2384,0,0.457
"28","beta_blocker_use",0.2384,0.2384,0,1.162
"29","black",0.2384,0.2384,0,-1.956
"30","breathing_discomfort",0.2384,0.2384,0,0.407
"31","bronchitis",0.2386,0.2384,0.001,2.149
"32","can_enjoy_entertainment",0.2385,0.2384,0,0.841
"33","can_feel_relaxed",0.2385,0.2384,0,1.432
"34","catTimeSince",0.2401,0.2384,0.007,6.398
"35","checkIn",0.2385,0.2384,0,3.211
"36","clinic",0.2384,0.2384,0,-0.288
"37","depression_HADS",0.2384,0.2384,0,-1.36
"38","digitalis",0.2384,0.2384,0,-0.157
"39","diuretics",0.2384,0.2384,0,-0.248
"40","emotional_z_score",0.2384,0.2384,0,-1.229
"41","emowell",0.2384,0.2384,0,-0.778
"42","energy",0.2385,0.2384,0,1.422
"43","energy_z_score",0.2384,0.2384,0,0.621
"44","enthusiastic_issues",0.2384,0.2384,0,0.126
"45","experiencedSevere",0.2387,0.2384,0.001,4.465
"46","fails_sleep_in_30min",0.2384,0.2384,0,-1.163
"47","feels_butterfly_fright",0.2384,0.2384,0,-2.046
"48","feels_cheerful",0.2384,0.2384,0,0.086
"49","feels_restless",0.2385,0.2384,0,1.714
"50","feels_slowed_down",0.2384,0.2384,0,-0.924
"51","fev1_liters",0.2385,0.2384,0,1.478
"52","fev1_predicted_baseline",0.2384,0.2384,0,0.646
"53","fev1fvcpct_",0.2384,0.2384,0,1.455
"54","fvc_liters",0.2384,0.2384,0,0.671
"55","gen_health_z_score",0.2392,0.2384,0.003,3.506
"56","gender",0.2391,0.2384,0.003,2.39
