"","Predictor","Marginalized error","Model error","Relative change","Z-value"
"1","ASP",0.2395,0.2395,0,-1.596
"2","AWFUL_N241_C",0.2395,0.2395,0,0.02
"3","CCB",0.2395,0.2395,0,-1.291
"4","FALLMN_N242_C",0.2395,0.2395,0,-1.056
"5","FEF2575_post_bronchodilator",0.2394,0.2395,-0.001,0.698
"6","FVC_post_bronchodilator",0.2395,0.2395,0,0.552
"7","LEU_",0.2401,0.2395,0.002,3.108
"8","POFEFM_",0.2395,0.2395,0,1.465
"9","SGRQ_activity",0.2394,0.2395,-0.001,-1.228
"10","SGRQ_impact",0.2394,0.2395,-0.001,-1.225
"11","SGRQ_symptoms",0.2407,0.2395,0.005,3.818
"12","TENSE_N241_C",0.2396,0.2395,0,0.75
"13","ace_inibitors",0.2395,0.2395,0,-0.948
"14","actual_hours_sleep",0.2394,0.2395,-0.001,-3.106
"15","advair_symbircort",0.2395,0.2395,0,-1.217
"16","age",0.2394,0.2395,0,-0.267
"17","aggregate_mental_z_score",0.2393,0.2395,-0.001,-1.994
"18","anti_arrythmics",0.2395,0.2395,0,1.09
"19","anti_coags",0.2397,0.2395,0.001,2.034
"20","anxiety_HADS",0.2396,0.2395,0,0.49
"21","arb_use",0.2395,0.2395,0,-0.328
"22","asian",0.2395,0.2395,0,1.09
"23","bad_dreams",0.2395,0.2395,0,-1.007
"24","bedtime_hours",0.2396,0.2395,0,0.791
"25","bedtime_minutes",0.2395,0.2395,0,-0.03
"26","beta_blocker_non_selective",0.2395,0.2395,0,1.09
"27","beta_blocker_selective",0.2395,0.2395,0,-1.583
"28","beta_blocker_use",0.2395,0.2395,0,0.337
"29","black",0.2395,0.2395,0,-1.585
"30","breathing_discomfort",0.2395,0.2395,0,-0.602
"31","bronchitis",0.2397,0.2395,0.001,2.372
"32","can_enjoy_entertainment",0.2395,0.2395,0,-1.857
"33","can_feel_relaxed",0.2396,0.2395,0,0.343
"34","catTimeSince",0.2411,0.2395,0.006,5.705
"35","checkIn",0.2396,0.2395,0,2.908
"36","clinic",0.2395,0.2395,0,0.2
"37","depression_HADS",0.2395,0.2395,0,-2.272
"38","digitalis",0.2395,0.2395,0,1.09
