"","Predictor","Marginalized error","Model error","Relative change","Z-value"
"1","ASP",0.2386,0.2387,0,-2.534
"2","AWFUL_N241_C",0.2387,0.2387,0,-0.726
"3","CCB",0.2387,0.2387,0,-1.16
"4","FALLMN_N242_C",0.2386,0.2387,0,-0.944
"5","FEF2575_post_bronchodilator",0.2387,0.2387,0,0.877
"6","FVC_post_bronchodilator",0.2386,0.2387,0,0.731
"7","LEU_",0.239,0.2387,0.001,2.502
"8","POFEFM_",0.2386,0.2387,0,0.981
"9","SGRQ_activity",0.2385,0.2387,-0.001,-1.803
"10","SGRQ_impact",0.2386,0.2387,-0.001,-0.394
"11","SGRQ_symptoms",0.2396,0.2387,0.004,3.632
"12","TENSE_N241_C",0.2387,0.2387,0,-1.002
"13","ace_inibitors",0.2386,0.2387,0,-2.346
"14","actual_hours_sleep",0.2387,0.2387,0,-1.369
"15","advair_symbircort",0.2387,0.2387,0,0.649
"16","age",0.2386,0.2387,0,0.064
"17","aggregate_mental_z_score",0.2387,0.2387,0,0.007
"18","anti_arrythmics",0.2387,0.2387,0,-1.276
"19","anti_coags",0.2388,0.2387,0,1.071
"20","anxiety_HADS",0.2388,0.2387,0,0.855
"21","arb_use",0.2387,0.2387,0,1.568
"22","asian",0.2387,0.2387,0,-1.276
"23","bad_dreams",0.2387,0.2387,0,-2.254
"24","bedtime_hours",0.2387,0.2387,0,0.382
"25","bedtime_minutes",0.2387,0.2387,0,0.325
"26","beta_blocker_non_selective",0.2387,0.2387,0,-1.276
"27","beta_blocker_selective",0.2387,0.2387,0,-0.091
"28","beta_blocker_use",0.2387,0.2387,0,1.643
"29","black",0.2387,0.2387,0,-1.783
"30","breathing_discomfort",0.2388,0.2387,0,1.278
"31","bronchitis",0.239,0.2387,0.001,2.955
"32","can_enjoy_entertainment",0.2387,0.2387,0,0.56
"33","can_feel_relaxed",0.2388,0.2387,0,0.635
"34","catTimeSince",0.241,0.2387,0.01,7.297
"35","checkIn",0.2387,0.2387,0,0.927
"36","clinic",0.2388,0.2387,0,1.145
"37","depression_HADS",0.2386,0.2387,0,-1.966
"38","digitalis",0.2387,0.2387,0,-1.276
"39","diuretics",0.2387,0.2387,0,-0.401
"40","emotional_z_score",0.2388,0.2387,0,1.276
"41","emowell",0.2387,0.2387,0,-0.422
"42","energy",0.2387,0.2387,0,1.16
"43","energy_z_score",0.2386,0.2387,0,0.402
"44","enthusiastic_issues",0.2387,0.2387,0,0.755
"45","experiencedSevere",0.2389,0.2387,0.001,4.556
"46","fails_sleep_in_30min",0.2387,0.2387,0,-1.49
"47","feels_butterfly_fright",0.2387,0.2387,0,-1.313
"48","feels_cheerful",0.2387,0.2387,0,0.928
"49","feels_restless",0.2387,0.2387,0,1.364
"50","feels_slowed_down",0.2387,0.2387,0,0.504
"51","fev1_liters",0.2389,0.2387,0.001,2.756
"52","fev1_predicted_baseline",0.2388,0.2387,0,2.265
"53","fev1fvcpct_",0.2386,0.2387,0,1.224
"54","fvc_liters",0.2387,0.2387,0,0.815
"55","gen_health_z_score",0.2396,0.2387,0.004,3.503
"56","gender",0.2392,0.2387,0.002,1.932
"57","genhealth",0.2397,0.2387,0.004,4.148
"58","get_up_bathroom",0.2387,0.2387,0,-0.9
"59","get_up_time_hours",0.2386,0.2387,0,-2.015
"60","get_up_time_minutes",0.2387,0.2387,0,-0.401
"61","gold1",0.2387,0.2387,0,-0.411
"62","gold2",0.2387,0.2387,0,0.172
"63","goldclass",0.2387,0.2387,0,0.467
"64","h2_blockers",0.2387,0.2387,0,-1.435
"65","have_pain",0.2388,0.2387,0,1.229
"66","hearmean",0.2386,0.2387,-0.001,-1.619
"67","hispanic",0.2387,0.2387,0,-1.276
"68","hosp1yr",0.2388,0.2387,0.001,2.179
"69","ics",0.2388,0.2387,0,2.168
"70","icslaba",0.2387,0.2387,0,0.633
"71","icslabalama",0.2388,0.2387,0,1.945
"72","icslama",0.2387,0.2387,0,0.005
"73","icsonly",0.2387,0.2387,0,-1.084
"74","laba",0.2388,0.2387,0,1.922
"75","labalama",0.2387,0.2387,0,0.681
"76","labaonly",0.2387,0.2387,0,-1.276
"77","lama",0.2388,0.2387,0,1.504
"78","lamaonly",0.2387,0.2387,0,-0.996
"79","lastYear",0.2387,0.2387,0,1.725
"80","looks_forward",0.2387,0.2387,0,0.43
"81","loud_cough_snore",0.2387,0.2387,0,0.124
"82","mental_health_z_score",0.2386,0.2387,-0.001,-1.305
"83","misc_baseline_meds",0.2387,0.2387,0,-1.276
"84","native",0.2387,0.2387,0,0.486
"85","noRecentMem",0.2395,0.2387,0.003,4.977
"86","no_interest_in_appearance",0.2387,0.2387,0,-0.931
"87","nowsmk",0.2388,0.2387,0.001,3.218
"88","on_laba_lama_ics",0.2388,0.2387,0,1.842
"89","oneMonth",0.2391,0.2387,0.002,8.19
"90","other_chol_reducers",0.2387,0.2387,0,0.001
"91","otherrace",0.2387,0.2387,0,-1.276
"92","oxygen",0.2387,0.2387,0,0.871
"93","oxygen_use",0.2389,0.2387,0.001,2.007
"94","pacific",0.2387,0.2387,0,-1.276
"95","packyears",0.2385,0.2387,-0.001,-1.687
"96","pain",0.239,0.2387,0.001,3.034
"97","pain_z_score",0.239,0.2387,0.001,2.236
"98","panic4",0.2387,0.2387,0,-1.308
"99","past_month_medication",0.2386,0.2387,0,-2.833
"100","phlegm",0.239,0.2387,0.001,2.81
"101","physfunc",0.2388,0.2387,0,-0.103
"102","physical_z_score",0.2386,0.2387,-0.001,-1.984
"103","proton_pump_inhibitors",0.2388,0.2387,0,0.666
"104","pseudoEst",0.2387,0.2387,0,-1.276
"105","rateExacerb",0.2409,0.2387,0.009,5.891
"106","role_phys_z_score",0.2386,0.2387,0,0.562
"107","roleemo",0.2388,0.2387,0,1.309
"108","rolephys",0.2386,0.2387,-0.001,-0.266
"109","season",0.2386,0.2387,0,-1.198
"110","seen_mental_health_provider_dep_anx",0.2388,0.2387,0.001,1.493
"111","sixMonths",0.2387,0.2387,0,-1.276
"112","sleep1",0.2387,0.2387,0,1.79
"113","sleep_disturbances",0.2387,0.2387,0,0.058
"114","sleep_duration",0.2387,0.2387,0,-0.613
"115","sleep_dysfunction",0.2387,0.2387,0,1.654
"116","sleep_efficiency",0.2386,0.2387,0,-1.831
"117","sleep_latency",0.2387,0.2387,0,0.295
"118","sleep_medication",0.2387,0.2387,0,-1.654
"119","sleep_qual_overall",0.2387,0.2387,0,-1.268
"120","sleep_quality_global",0.2387,0.2387,0,-0.779
"121","sleep_quality_subjective",0.2387,0.2387,0,-0.983
"122","socfunc",0.2386,0.2387,0,-1.216
"123","social_z_score",0.2388,0.2387,0,1.226
"124","statin",0.2387,0.2387,0,-0.35
"125","statins",0.2387,0.2387,0,-0.268
"126","ster1yr",0.2389,0.2387,0.001,2.225
"127","stgtotalc",0.2384,0.2387,-0.001,-0.072
"128","still_enjoy_things",0.2387,0.2387,0,-1.333
"129","still_laughs",0.2387,0.2387,0,-2.66
"130","sudden_feelings_panic",0.2387,0.2387,0,-0.235
"131","theophylline_use",0.2387,0.2387,0,-1.319
"132","threeMonths",0.2388,0.2387,0.001,5.843
"133","time_bedtime_qs_asked",0.2387,0.2387,0,-0.547
"134","time_wakeup_qs_asked",0.2387,0.2387,0,-1.276
"135","too_cold_sleep",0.2387,0.2387,0,-0.807
"136","too_hot_sleep",0.2387,0.2387,0,0.682
"137","trouble_waking",0.2387,0.2387,0,-0.86
"138","trtgroup",0.2393,0.2387,0.003,2.062
"139","vasodilator_use",0.2387,0.2387,0,-1.968
"140","wakeup_mid_night",0.2387,0.2387,0,-0.491
"141","white",0.2387,0.2387,0,-0.766
