"","Predictor","Marginalized error","Model error","Relative change","Z-value"
"1","ASP",0.2379,0.2379,0,-1.659
"2","AWFUL_N241_C",0.2379,0.2379,0,-0.87
"3","CCB",0.238,0.2379,0,0.747
"4","FALLMN_N242_C",0.2379,0.2379,0,0.435
"5","FEF2575_post_bronchodilator",0.2378,0.2379,-0.001,0.108
"6","FVC_post_bronchodilator",0.2379,0.2379,0,0.257
"7","LEU_",0.2382,0.2379,0.001,2.431
"8","POFEFM_",0.2378,0.2379,0,0.857
"9","SGRQ_activity",0.2377,0.2379,-0.001,-2.682
"10","SGRQ_impact",0.2377,0.2379,-0.001,-2.797
"11","SGRQ_symptoms",0.2389,0.2379,0.004,3.908
"12","TENSE_N241_C",0.2379,0.2379,0,-0.339
"13","ace_inibitors",0.238,0.2379,0,1.034
"14","actual_hours_sleep",0.2379,0.2379,0,-1.659
"15","advair_symbircort",0.238,0.2379,0,0.203
"16","age",0.2381,0.2379,0.001,1.129
"17","aggregate_mental_z_score",0.2378,0.2379,-0.001,-0.958
"18","anti_arrythmics",0.2379,0.2379,0,-0.054
"19","anti_coags",0.238,0.2379,0,1.2
"20","anxiety_HADS",0.238,0.2379,0,1.425
"21","arb_use",0.2379,0.2379,0,-0.623
"22","asian",0.2379,0.2379,0,-0.054
"23","bad_dreams",0.2379,0.2379,0,-1.599
"24","bedtime_hours",0.2379,0.2379,0,-0.731
"25","bedtime_minutes",0.2379,0.2379,0,0.701
"26","beta_blocker_non_selective",0.2379,0.2379,0,-0.054
"27","beta_blocker_selective",0.238,0.2379,0,0.786
"28","beta_blocker_use",0.2379,0.2379,0,0.901
"29","black",0.2379,0.2379,0,-1.401
"30","breathing_discomfort",0.2379,0.2379,0,-0.833
"31","bronchitis",0.2382,0.2379,0.001,2.698
"32","can_enjoy_entertainment",0.2379,0.2379,0,-1.859
"33","can_feel_relaxed",0.2379,0.2379,0,-0.259
"34","catTimeSince",0.2403,0.2379,0.01,7.355
"35","checkIn",0.238,0.2379,0,3.465
"36","clinic",0.238,0.2379,0,0.794
"37","depression_HADS",0.2379,0.2379,0,-0.672
"38","digitalis",0.2379,0.2379,0,-0.569
"39","diuretics",0.238,0.2379,0,-0.191
"40","emotional_z_score",0.238,0.2379,0,1.608
"41","emowell",0.2379,0.2379,0,-0.053
"42","energy",0.2379,0.2379,0,1.559
"43","energy_z_score",0.238,0.2379,0,1.941
"44","enthusiastic_issues",0.2379,0.2379,0,-0.08
"45","experiencedSevere",0.2382,0.2379,0.001,4.268
"46","fails_sleep_in_30min",0.2379,0.2379,0,-0.117
"47","feels_butterfly_fright",0.2379,0.2379,0,0.619
"48","feels_cheerful",0.2379,0.2379,0,0.092
"49","feels_restless",0.238,0.2379,0,1.009
"50","feels_slowed_down",0.2379,0.2379,0,-1.292
"51","fev1_liters",0.2379,0.2379,0,1.728
"52","fev1_predicted_baseline",0.2378,0.2379,-0.001,0.519
"53","fev1fvcpct_",0.2379,0.2379,0,1.118
"54","fvc_liters",0.2378,0.2379,-0.001,-0.584
"55","gen_health_z_score",0.2388,0.2379,0.004,3.834
"56","gender",0.2385,0.2379,0.002,2.498
"57","genhealth",0.2386,0.2379,0.003,3.667
"58","get_up_bathroom",0.238,0.2379,0,0.879
"59","get_up_time_hours",0.238,0.2379,0,0.812
"60","get_up_time_minutes",0.2379,0.2379,0,-0.06
"61","gold1",0.2379,0.2379,0,-0.757
"62","gold2",0.2379,0.2379,0,-0.717
"63","goldclass",0.2379,0.2379,0,-0.402
"64","h2_blockers",0.2379,0.2379,0,-0.404
"65","have_pain",0.2379,0.2379,0,-0.174
"66","hearmean",0.2378,0.2379,0,-0.675
"67","hispanic",0.2379,0.2379,0,-0.054
"68","hosp1yr",0.2382,0.2379,0.001,2.765
"69","ics",0.238,0.2379,0,1.63
"70","icslaba",0.238,0.2379,0,1.098
"71","icslabalama",0.238,0.2379,0,1.328
"72","icslama",0.2379,0.2379,0,3.587
"73","icsonly",0.2379,0.2379,0,-0.141
"74","laba",0.2381,0.2379,0.001,2.883
"75","labalama",0.2379,0.2379,0,0.304
"76","labaonly",0.2379,0.2379,0,-0.054
"77","lama",0.238,0.2379,0,0.748
"78","lamaonly",0.2379,0.2379,0,-0.682
"79","lastYear",0.238,0.2379,0,2.256
"80","looks_forward",0.2379,0.2379,0,-1.229
"81","loud_cough_snore",0.2379,0.2379,0,-1.128
"82","mental_health_z_score",0.2379,0.2379,0,-0.287
"83","misc_baseline_meds",0.2379,0.2379,0,-0.054
"84","native",0.2379,0.2379,0,-1.443
"85","noRecentMem",0.2388,0.2379,0.004,5.28
"86","no_interest_in_appearance",0.238,0.2379,0,0.983
"87","nowsmk",0.2381,0.2379,0.001,2.846
"88","on_laba_lama_ics",0.238,0.2379,0,1.711
"89","oneMonth",0.2384,0.2379,0.002,8.101
"90","other_chol_reducers",0.2379,0.2379,0,-0.054
"91","otherrace",0.2379,0.2379,0,-0.054
"92","oxygen",0.238,0.2379,0,1.89
"93","oxygen_use",0.238,0.2379,0,1.094
"94","pacific",0.2379,0.2379,0,-0.054
"95","packyears",0.2379,0.2379,0,-0.317
"96","pain",0.2382,0.2379,0.001,2.54
"97","pain_z_score",0.2382,0.2379,0.001,3.037
"98","panic4",0.2379,0.2379,0,-0.442
"99","past_month_medication",0.238,0.2379,0,0.265
"100","phlegm",0.2383,0.2379,0.001,3.36
"101","physfunc",0.2378,0.2379,0,-1.015
"102","physical_z_score",0.2379,0.2379,0,-1.102
"103","proton_pump_inhibitors",0.2378,0.2379,0,-0.872
"104","pseudoEst",0.2379,0.2379,0,-0.054
"105","rateExacerb",0.2405,0.2379,0.011,7.104
"106","role_phys_z_score",0.2379,0.2379,0,-0.315
"107","roleemo",0.238,0.2379,0,1.483
"108","rolephys",0.2379,0.2379,0,-0.007
"109","season",0.2378,0.2379,0,-1.418
"110","seen_mental_health_provider_dep_anx",0.238,0.2379,0,0.715
"111","sixMonths",0.2379,0.2379,0,0.907
"112","sleep1",0.238,0.2379,0,0.911
"113","sleep_disturbances",0.2379,0.2379,0,-0.757
"114","sleep_duration",0.2379,0.2379,0,-0.984
"115","sleep_dysfunction",0.238,0.2379,0,1.976
"116","sleep_efficiency",0.2379,0.2379,0,-1.981
"117","sleep_latency",0.2379,0.2379,0,-0.544
"118","sleep_medication",0.2379,0.2379,0,-0.716
"119","sleep_qual_overall",0.2379,0.2379,0,-1.61
"120","sleep_quality_global",0.2378,0.2379,0,-1.058
"121","sleep_quality_subjective",0.238,0.2379,0,-0.127
"122","socfunc",0.2379,0.2379,0,-0.167
"123","social_z_score",0.2379,0.2379,0,0.085
"124","statin",0.2379,0.2379,0,-0.669
"125","statins",0.2379,0.2379,0,-0.187
