"","Predictor","Marginalized error","Model error","Relative change","Z-value"
"5","timeSince",0.2446,0.2398,0.02,8.256
"26","SGRQ_symptoms",0.2411,0.2398,0.005,4.033
"11","gender",0.2406,0.2398,0.003,3.429
"24","trtgroup",0.2406,0.2398,0.003,2.746
"14","hosp1yr",0.2405,0.2398,0.003,3.536
"120","gen_health_z_score",0.2405,0.2398,0.003,3.106
"90","genhealth",0.2404,0.2398,0.003,3.139
"6","experiencedSevere",0.2401,0.2398,0.001,4.602
"21","phlegm",0.2401,0.2398,0.001,2.721
"89","pain",0.2401,0.2398,0.002,3.102
"94","LEU_",0.2401,0.2398,0.002,3.108
"119","pain_z_score",0.2401,0.2398,0.001,2.588
"23","ster1yr",0.24,0.2398,0.001,2.223
"74","seen_mental_health_provider_dep_anx",0.24,0.2398,0.001,1.803
"86","energy",0.24,0.2398,0.001,2.159
"93","oxygen_use",0.24,0.2398,0.001,2.404
"9","bronchitis",0.2399,0.2398,0.001,2.216
"16","nowsmk",0.2399,0.2398,0,3.02
"18","oxygen",0.2399,0.2398,0,1.499
"46","breathing_discomfort",0.2399,0.2398,0,1.855
"78","ics",0.2399,0.2398,0.001,2.409
"80","lama",0.2399,0.2398,0.001,1.992
"84","rolephys",0.2399,0.2398,0,1.521
"91","fev1fvcpct_",0.2399,0.2398,0.001,1.866
"95","proton_pump_inhibitors",0.2399,0.2398,0,0.875
"111","anti_coags",0.2399,0.2398,0,0.902
"121","energy_z_score",0.2399,0.2398,0,1.787
"126","on_laba_lama_ics",0.2399,0.2398,0,2.309
"1","pseudoEst",0.2398,0.2398,0,-0.303
"3","checkIn",0.2398,0.2398,0,0.291
"4","age",0.2398,0.2398,0,1.235
"7","asian",0.2398,0.2398,0,-0.303
"8","black",0.2398,0.2398,0,0.19
"10","clinic",0.2398,0.2398,0,0.839
"12","goldclass",0.2398,0.2398,0,1.473
"13","hispanic",0.2398,0.2398,0,-0.303
"15","native",0.2398,0.2398,0,-0.956
"17","otherrace",0.2398,0.2398,0,-0.303
"19","pacific",0.2398,0.2398,0,-0.303
"20","packyears",0.2398,0.2398,0,0.006
"25","white",0.2398,0.2398,0,0.323
"31","sleep_latency",0.2398,0.2398,0,-0.328
"35","sleep_disturbances",0.2398,0.2398,0,0.954
"36","sleep_dysfunction",0.2398,0.2398,0,0.836
"37","bedtime_hours",0.2398,0.2398,0,0.736
"38","bedtime_minutes",0.2398,0.2398,0,1.557
"41","get_up_time_minutes",0.2398,0.2398,0,-0.038
"45","get_up_bathroom",0.2398,0.2398,0,0.655
"47","loud_cough_snore",0.2398,0.2398,0,0.383
"51","have_pain",0.2398,0.2398,0,0.846
"53","trouble_waking",0.2398,0.2398,0,0.213
"56","time_bedtime_qs_asked",0.2398,0.2398,0,-0.22
"57","time_wakeup_qs_asked",0.2398,0.2398,0,-0.303
"58","anxiety_HADS",0.2398,0.2398,0,0.905
"61","still_enjoy_things",0.2398,0.2398,0,-0.699
"62","AWFUL_N241_C",0.2398,0.2398,0,0.213
"63","still_laughs",0.2398,0.2398,0,-0.836
"64","worries",0.2398,0.2398,0,-0.424
"65","feels_cheerful",0.2398,0.2398,0,0.126
"66","can_feel_relaxed",0.2398,0.2398,0,0.347
"68","feels_butterfly_fright",0.2398,0.2398,0,0.997
"69","no_interest_in_appearance",0.2398,0.2398,0,-0.702
"70","feels_restless",0.2398,0.2398,0,0.254
"72","sudden_feelings_panic",0.2398,0.2398,0,1.303
"79","laba",0.2398,0.2398,0,1.418
"81","advair_symbircort",0.2398,0.2398,0,0.808
"85","roleemo",0.2398,0.2398,0,0.491
"96","h2_blockers",0.2398,0.2398,0,-1.7
"100","ace_inibitors",0.2398,0.2398,0,-0.25
"101","arb_use",0.2398,0.2398,0,-0.665
"102","beta_blocker_use",0.2398,0.2398,0,0.079
"103","beta_blocker_non_selective",0.2398,0.2398,0,-0.303
"104","beta_blocker_selective",0.2398,0.2398,0,0.948
"106","anti_arrythmics",0.2398,0.2398,0,-0.303
"107","statins",0.2398,0.2398,0,0.612
"109","misc_baseline_meds",0.2398,0.2398,0,-0.303
"110","vasodilator_use",0.2398,0.2398,0,-1.095
"112","other_chol_reducers",0.2398,0.2398,0,-0.303
"113","digitalis",0.2398,0.2398,0,2.368
"116","statin",0.2398,0.2398,0,-0.118
"118","role_phys_z_score",0.2398,0.2398,0,1.041
"123","emotional_z_score",0.2398,0.2398,0,0.549
"124","mental_health_z_score",0.2398,0.2398,0,0.746
"127","icsonly",0.2398,0.2398,0,-0.071
"128","labaonly",0.2398,0.2398,0,-0.303
"129","lamaonly",0.2398,0.2398,0,-0.422
"130","icslaba",0.2398,0.2398,0,-0.372
"131","icslama",0.2398,0.2398,0,-0.385
"132","labalama",0.2398,0.2398,0,0.458
"133","icslabalama",0.2398,0.2398,0,1.255
"134","gold2",0.2398,0.2398,0,0.45
"136","sleep1",0.2398,0.2398,0,-0.303
"22","season",0.2397,0.2398,0,-0.06
"29","sleep_quality_global",0.2397,0.2398,0,-0.918
"30","sleep_quality_subjective",0.2397,0.2398,0,-0.97
"32","sleep_duration",0.2397,0.2398,0,-1.593
"33","sleep_medication",0.2397,0.2398,0,-1.903
"34","sleep_efficiency",0.2397,0.2398,0,-0.587
"39","FALLMN_N242_C",0.2397,0.2398,0,-0.75
"40","get_up_time_hours",0.2397,0.2398,0,-0.652
"42","actual_hours_sleep",0.2397,0.2398,0,-0.779
"43","fails_sleep_in_30min",0.2397,0.2398,0,-2.691
"44","wakeup_mid_night",0.2397,0.2398,0,-1.398
"48","too_cold_sleep",0.2397,0.2398,0,-0.762
"49","too_hot_sleep",0.2397,0.2398,0,-1.519
"50","bad_dreams",0.2397,0.2398,0,-1.191
"52","past_month_medication",0.2397,0.2398,0,-0.899
"54","enthusiastic_issues",0.2397,0.2398,0,0.075
"55","sleep_qual_overall",0.2397,0.2398,0,-1.335
"60","TENSE_N241_C",0.2397,0.2398,0,-1.544
"67","feels_slowed_down",0.2397,0.2398,0,-0.713
"71","looks_forward",0.2397,0.2398,0,-1.679
"73","can_enjoy_entertainment",0.2397,0.2398,0,-0.741
"75","fev1_liters",0.2397,0.2398,0,1.062
"77","fev1_predicted_baseline",0.2397,0.2398,0,1.144
"83","physfunc",0.2397,0.2398,0,-1.229
"87","emowell",0.2397,0.2398,0,-0.354
"88","socfunc",0.2397,0.2398,0,-1.219
"92","theophylline_use",0.2397,0.2398,0,-2.035
"98","FEF2575_post_bronchodilator",0.2397,0.2398,0,1.085
"99","POFEFM_",0.2397,0.2398,0,1.299
"105","CCB",0.2397,0.2398,0,-0.907
"108","diuretics",0.2397,0.2398,0,-1.201
"114","ASP",0.2397,0.2398,0,-0.651
"117","physical_z_score",0.2397,0.2398,0,-1.248
"122","social_z_score",0.2397,0.2398,0,-1.168
"135","gold1",0.2397,0.2398,0,-0.464
"137","panic4",0.2397,0.2398,0,-1.197
"28","SGRQ_impact",0.2396,0.2398,-0.001,-1.444
"59","depression_HADS",0.2396,0.2398,-0.001,-2.67
"76","fvc_liters",0.2396,0.2398,-0.001,-0.526
"97","FVC_post_bronchodilator",0.2396,0.2398,0,-0.457
"115","hearmean",0.2396,0.2398,-0.001,-1.989
"125","aggregate_mental_z_score",0.2396,0.2398,-0.001,-1.215
"2","X",0.2395,0.2398,-0.001,-1.218
"27","SGRQ_activity",0.2395,0.2398,-0.001,-2.493
"82","stgtotalc",0.2393,0.2398,-0.002,-0.999
