"","Predictor","Marginalized error","Model error","Relative change","Z-value"
"5","timeSince",0.2447,0.2394,0.022,8.422
"26","SGRQ_symptoms",0.2407,0.2394,0.005,4.03
"24","trtgroup",0.2402,0.2394,0.003,2.654
"90","genhealth",0.2402,0.2394,0.004,3.263
"11","gender",0.2401,0.2394,0.003,2.664
"94","LEU_",0.24,0.2394,0.002,3.277
"120","gen_health_z_score",0.24,0.2394,0.002,2.907
"14","hosp1yr",0.2399,0.2394,0.002,2.294
"89","pain",0.2399,0.2394,0.002,3.756
"119","pain_z_score",0.2399,0.2394,0.002,3.12
"6","experiencedSevere",0.2397,0.2394,0.001,4.729
"21","phlegm",0.2397,0.2394,0.001,2.756
"23","ster1yr",0.2396,0.2394,0.001,2.21
"74","seen_mental_health_provider_dep_anx",0.2396,0.2394,0.001,1.949
"79","laba",0.2396,0.2394,0.001,3.154
"93","oxygen_use",0.2396,0.2394,0.001,1.799
"9","bronchitis",0.2395,0.2394,0,1.926
"10","clinic",0.2395,0.2394,0.001,1.091
"37","bedtime_hours",0.2395,0.2394,0,1.074
"66","can_feel_relaxed",0.2395,0.2394,0,1.105
"80","lama",0.2395,0.2394,0.001,1.765
"95","proton_pump_inhibitors",0.2395,0.2394,0,0.818
"99","POFEFM_",0.2395,0.2394,0,1.617
"104","beta_blocker_selective",0.2395,0.2394,0,1.698
"111","anti_coags",0.2395,0.2394,0.001,1.514
"126","on_laba_lama_ics",0.2395,0.2394,0,1.632
"1","pseudoEst",0.2394,0.2394,0,-0.954
"2","X",0.2394,0.2394,0,-0.175
"3","checkIn",0.2394,0.2394,0,0.163
"4","age",0.2394,0.2394,0,0.47
"7","asian",0.2394,0.2394,0,-0.954
"8","black",0.2394,0.2394,0,-0.871
"12","goldclass",0.2394,0.2394,0,0.419
"13","hispanic",0.2394,0.2394,0,-0.882
"15","native",0.2394,0.2394,0,-0.562
"16","nowsmk",0.2394,0.2394,0,0.952
"17","otherrace",0.2394,0.2394,0,-0.954
"19","pacific",0.2394,0.2394,0,-0.954
"20","packyears",0.2394,0.2394,0,0.418
"25","white",0.2394,0.2394,0,0.389
"30","sleep_quality_subjective",0.2394,0.2394,0,-0.317
"33","sleep_medication",0.2394,0.2394,0,-0.17
"35","sleep_disturbances",0.2394,0.2394,0,-1.087
"36","sleep_dysfunction",0.2394,0.2394,0,1.157
"39","FALLMN_N242_C",0.2394,0.2394,0,0.051
"41","get_up_time_minutes",0.2394,0.2394,0,-0.045
"42","actual_hours_sleep",0.2394,0.2394,0,0.752
"45","get_up_bathroom",0.2394,0.2394,0,0.558
"46","breathing_discomfort",0.2394,0.2394,0,0.798
"47","loud_cough_snore",0.2394,0.2394,0,-0.117
"50","bad_dreams",0.2394,0.2394,0,-1.118
"51","have_pain",0.2394,0.2394,0,-0.053
"52","past_month_medication",0.2394,0.2394,0,-1.074
"53","trouble_waking",0.2394,0.2394,0,-1.005
"54","enthusiastic_issues",0.2394,0.2394,0,0.756
"55","sleep_qual_overall",0.2394,0.2394,0,-1.163
"56","time_bedtime_qs_asked",0.2394,0.2394,0,-0.775
"57","time_wakeup_qs_asked",0.2394,0.2394,0,-0.954
"58","anxiety_HADS",0.2394,0.2394,0,-0.319
"59","depression_HADS",0.2394,0.2394,0,-0.977
"61","still_enjoy_things",0.2394,0.2394,0,-0.705
"62","AWFUL_N241_C",0.2394,0.2394,0,0.01
"63","still_laughs",0.2394,0.2394,0,-0.625
"64","worries",0.2394,0.2394,0,-0.636
"65","feels_cheerful",0.2394,0.2394,0,0.412
"67","feels_slowed_down",0.2394,0.2394,0,-0.282
"68","feels_butterfly_fright",0.2394,0.2394,0,-0.665
"70","feels_restless",0.2394,0.2394,0,1.561
"72","sudden_feelings_panic",0.2394,0.2394,0,0.722
"73","can_enjoy_entertainment",0.2394,0.2394,0,-1.014
"76","fvc_liters",0.2394,0.2394,0,0.634
"78","ics",0.2394,0.2394,0,1.408
"81","advair_symbircort",0.2394,0.2394,0,-0.03
"84","rolephys",0.2394,0.2394,0,0.648
"85","roleemo",0.2394,0.2394,0,0.048
"86","energy",0.2394,0.2394,0,0.443
"87","emowell",0.2394,0.2394,0,-0.302
"88","socfunc",0.2394,0.2394,0,0.149
"91","fev1fvcpct_",0.2394,0.2394,0,1.381
"92","theophylline_use",0.2394,0.2394,0,-0.204
"96","h2_blockers",0.2394,0.2394,0,-1.08
"100","ace_inibitors",0.2394,0.2394,0,0.027
"101","arb_use",0.2394,0.2394,0,-0.772
"102","beta_blocker_use",0.2394,0.2394,0,0.829
"103","beta_blocker_non_selective",0.2394,0.2394,0,-0.954
"106","anti_arrythmics",0.2394,0.2394,0,-0.954
"107","statins",0.2394,0.2394,0,-0.265
"109","misc_baseline_meds",0.2394,0.2394,0,-0.954
"110","vasodilator_use",0.2394,0.2394,0,-1.377
"112","other_chol_reducers",0.2394,0.2394,0,-0.356
"113","digitalis",0.2394,0.2394,0,-0.879
"114","ASP",0.2394,0.2394,0,-0.273
"116","statin",0.2394,0.2394,0,0.317
"121","energy_z_score",0.2394,0.2394,0,1.34
"123","emotional_z_score",0.2394,0.2394,0,0.257
"127","icsonly",0.2394,0.2394,0,-0.954
"128","labaonly",0.2394,0.2394,0,-0.954
"129","lamaonly",0.2394,0.2394,0,-1.218
"130","icslaba",0.2394,0.2394,0,1.099
"131","icslama",0.2394,0.2394,0,0.735
"132","labalama",0.2394,0.2394,0,-0.052
"133","icslabalama",0.2394,0.2394,0,1.43
"136","sleep1",0.2394,0.2394,0,1.532
"137","panic4",0.2394,0.2394,0,-0.96
"18","oxygen",0.2393,0.2394,0,0.021
"22","season",0.2393,0.2394,0,-0.336
"29","sleep_quality_global",0.2393,0.2394,0,-0.364
"31","sleep_latency",0.2393,0.2394,0,-1
"32","sleep_duration",0.2393,0.2394,0,-1.043
"34","sleep_efficiency",0.2393,0.2394,0,-1.366
"38","bedtime_minutes",0.2393,0.2394,0,-0.776
"40","get_up_time_hours",0.2393,0.2394,0,-1.25
"43","fails_sleep_in_30min",0.2393,0.2394,0,-1.562
"44","wakeup_mid_night",0.2393,0.2394,0,-0.689
"48","too_cold_sleep",0.2393,0.2394,0,-2.658
