"","Predictor","Marginalized error","Model error","Relative change","Z-value"
"1","ASP",0.2384,0.2385,0,-1.208
"2","AWFUL_N241_C",0.2385,0.2385,0,1.78
"3","CCB",0.2385,0.2385,0,0.269
"4","FALLMN_N242_C",0.2385,0.2385,0,0.637
"5","FEF2575_post_bronchodilator",0.2385,0.2385,0,1.896
"6","FVC_post_bronchodilator",0.2383,0.2385,-0.001,-0.723
"7","LEU_",0.2389,0.2385,0.002,2.93
"8","POFEFM_",0.2386,0.2385,0,2.257
"9","SGRQ_activity",0.2383,0.2385,-0.001,-2.963
"10","SGRQ_impact",0.2384,0.2385,0,-0.544
"11","SGRQ_symptoms",0.2396,0.2385,0.005,4.209
"12","TENSE_N241_C",0.2385,0.2385,0,-1.161
"13","ace_inibitors",0.2385,0.2385,0,-0.641
"14","actual_hours_sleep",0.2383,0.2385,-0.001,-3.754
"15","advair_symbircort",0.2384,0.2385,0,-0.956
"16","age",0.2384,0.2385,0,0.334
"17","aggregate_mental_z_score",0.2383,0.2385,-0.001,-1.867
"18","anti_arrythmics",0.2385,0.2385,0,-0.079
"19","anti_coags",0.2387,0.2385,0.001,2.58
"20","anxiety_HADS",0.2385,0.2385,0,0.427
"21","arb_use",0.2385,0.2385,0,0.616
"22","asian",0.2385,0.2385,0,-0.079
"23","bad_dreams",0.2384,0.2385,0,-1.188
"24","bedtime_hours",0.2386,0.2385,0,1.419
"25","bedtime_minutes",0.2385,0.2385,0,0.153
"26","beta_blocker_non_selective",0.2385,0.2385,0,-0.079
"27","beta_blocker_selective",0.2385,0.2385,0,-0.285
"28","beta_blocker_use",0.2385,0.2385,0,0.39
"29","black",0.2384,0.2385,0,-1.707
"30","breathing_discomfort",0.2384,0.2385,0,-0.073
"31","bronchitis",0.2387,0.2385,0.001,2.888
"32","can_enjoy_entertainment",0.2385,0.2385,0,-0.207
"33","can_feel_relaxed",0.2385,0.2385,0,0.178
"34","catTimeSince",0.2406,0.2385,0.009,6.659
"35","checkIn",0.2385,0.2385,0,3.976
"36","clinic",0.2385,0.2385,0,0.472
"37","depression_HADS",0.2384,0.2385,0,-0.608
"38","digitalis",0.2385,0.2385,0,-0.079
"39","diuretics",0.2385,0.2385,0,0.816
"40","emotional_z_score",0.2385,0.2385,0,1.392
"41","emowell",0.2384,0.2385,0,-1.502
"42","energy",0.2385,0.2385,0,1.691
"43","energy_z_score",0.2385,0.2385,0,0.521
"44","enthusiastic_issues",0.2385,0.2385,0,0.791
"45","experiencedSevere",0.2386,0.2385,0.001,4.092
"46","fails_sleep_in_30min",0.2384,0.2385,0,-1.03
"47","feels_butterfly_fright",0.2384,0.2385,0,-2.636
"48","feels_cheerful",0.2385,0.2385,0,0.348
