"","Predictor","Marginalized error","Model error","Relative change","Z-value"
"1","ASP",0.2382,0.2382,0,0.427
"2","AWFUL_N241_C",0.2382,0.2382,0,0.491
"3","CCB",0.2381,0.2382,0,-2.17
"4","FALLMN_N242_C",0.2382,0.2382,0,0.029
"5","FEF2575_post_bronchodilator",0.2381,0.2382,0,0.731
"6","FVC_post_bronchodilator",0.238,0.2382,-0.001,-0.052
"7","LEU_",0.2386,0.2382,0.002,2.618
"8","POFEFM_",0.2381,0.2382,0,1.28
"9","SGRQ_activity",0.2381,0.2382,0,-1.515
"10","SGRQ_impact",0.238,0.2382,-0.001,-1.19
"11","SGRQ_symptoms",0.2395,0.2382,0.006,4.135
"12","TENSE_N241_C",0.2382,0.2382,0,-0.851
"13","ace_inibitors",0.2382,0.2382,0,-0.411
"14","actual_hours_sleep",0.2381,0.2382,0,-2.527
"15","advair_symbircort",0.2381,0.2382,0,0
"16","age",0.2382,0.2382,0,1.204
"17","aggregate_mental_z_score",0.238,0.2382,-0.001,-1.756
"18","anti_arrythmics",0.2382,0.2382,0,0.226
"19","anti_coags",0.2383,0.2382,0.001,1.006
"20","anxiety_HADS",0.2382,0.2382,0,-0.38
"21","arb_use",0.2382,0.2382,0,-1.027
"22","asian",0.2382,0.2382,0,0.226
"23","bad_dreams",0.2382,0.2382,0,-1.745
"24","bedtime_hours",0.2382,0.2382,0,-0.488
"25","bedtime_minutes",0.2382,0.2382,0,0.386
"26","beta_blocker_non_selective",0.2382,0.2382,0,0.226
"27","beta_blocker_selective",0.2382,0.2382,0,0.534
"28","beta_blocker_use",0.2382,0.2382,0,-0.394
"29","black",0.2381,0.2382,0,-1.269
"30","breathing_discomfort",0.2382,0.2382,0,0.478
"31","bronchitis",0.2383,0.2382,0.001,2.311
"32","can_enjoy_entertainment",0.2382,0.2382,0,-0.237
"33","can_feel_relaxed",0.2382,0.2382,0,0.576
"34","catTimeSince",0.2407,0.2382,0.01,7.305
"35","checkIn",0.2382,0.2382,0,3.065
"36","clinic",0.238,0.2382,-0.001,-0.662
"37","depression_HADS",0.2381,0.2382,0,-1.283
"38","digitalis",0.2382,0.2382,0,0.226
"39","diuretics",0.2382,0.2382,0,0.291
"40","emotional_z_score",0.2382,0.2382,0,0.703
"41","emowell",0.2382,0.2382,0,0.291
"42","energy",0.2382,0.2382,0,1.259
"43","energy_z_score",0.2382,0.2382,0,1.526
"44","enthusiastic_issues",0.2382,0.2382,0,-0.152
"45","experiencedSevere",0.2383,0.2382,0.001,3.528
"46","fails_sleep_in_30min",0.2381,0.2382,0,-1.54
"47","feels_butterfly_fright",0.2381,0.2382,0,-0.614
"48","feels_cheerful",0.2382,0.2382,0,0.398
"49","feels_restless",0.2382,0.2382,0,1.561
"50","feels_slowed_down",0.2382,0.2382,0,0.39
"51","fev1_liters",0.2382,0.2382,0,1.737
"52","fev1_predicted_baseline",0.2382,0.2382,0,1.499
"53","fev1fvcpct_",0.2384,0.2382,0.001,2.15
"54","fvc_liters",0.2381,0.2382,0,1.018
"55","gen_health_z_score",0.239,0.2382,0.003,3.668
"56","gender",0.2387,0.2382,0.002,2.463
"57","genhealth",0.2389,0.2382,0.003,3.277
"58","get_up_bathroom",0.2381,0.2382,0,-1.119
"59","get_up_time_hours",0.2381,0.2382,0,-1.766
"60","get_up_time_minutes",0.2382,0.2382,0,-0.408
"61","gold1",0.2381,0.2382,0,-1.623
"62","gold2",0.2381,0.2382,0,-2.084
"63","goldclass",0.2382,0.2382,0,1.111
"64","h2_blockers",0.2382,0.2382,0,-0.083
"65","have_pain",0.2382,0.2382,0,0.437
"66","hearmean",0.238,0.2382,-0.001,-1.383
"67","hispanic",0.2382,0.2382,0,-0.601
"68","hosp1yr",0.2384,0.2382,0.001,2.685
"69","ics",0.2382,0.2382,0,1.539
"70","icslaba",0.2382,0.2382,0,0.375
"71","icslabalama",0.2382,0.2382,0,1.237
"72","icslama",0.2382,0.2382,0,0.996
"73","icsonly",0.2382,0.2382,0,-1.087
"74","laba",0.2382,0.2382,0,1.355
"75","labalama",0.2382,0.2382,0,0.705
"76","labaonly",0.2382,0.2382,0,0.226
"77","lama",0.2383,0.2382,0,1.328
"78","lamaonly",0.2382,0.2382,0,-0.579
"79","lastYear",0.2382,0.2382,0,1.74
"80","looks_forward",0.2382,0.2382,0,0.132
"81","loud_cough_snore",0.2381,0.2382,0,-1.116
"82","mental_health_z_score",0.2382,0.2382,0,0.227
"83","misc_baseline_meds",0.2382,0.2382,0,0.226
"84","native",0.2382,0.2382,0,0.208
"85","noRecentMem",0.2388,0.2382,0.003,4.632
"86","no_interest_in_appearance",0.2382,0.2382,0,0.082
"87","nowsmk",0.2383,0.2382,0,2.605
"88","on_laba_lama_ics",0.2383,0.2382,0,2.464
"89","oneMonth",0.2385,0.2382,0.002,8.373
"90","other_chol_reducers",0.2382,0.2382,0,0.384
"91","otherrace",0.2382,0.2382,0,0.226
"92","oxygen",0.2382,0.2382,0,0.784
"93","oxygen_use",0.2383,0.2382,0.001,1.772
"94","pacific",0.2382,0.2382,0,0.226
"95","packyears",0.238,0.2382,-0.001,-0.922
"96","pain",0.2386,0.2382,0.002,3.651
"97","pain_z_score",0.2385,0.2382,0.002,2.984
"98","panic4",0.2382,0.2382,0,-0.63
"99","past_month_medication",0.2381,0.2382,0,-2.992
"100","phlegm",0.2386,0.2382,0.002,3.098
"101","physfunc",0.2381,0.2382,0,-0.842
"102","physical_z_score",0.2382,0.2382,0,-0.583
"103","proton_pump_inhibitors",0.2383,0.2382,0,1.175
